model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.001,0.05,0,2,0.9514884221074216,0.919189749545848
LSPIN,lspin_tf,0.001,0.05,0,3,0.9745839569244056,0.9414461662414968
LSPIN,lspin_tf,0.001,0.05,0,4,0.9793332311657312,0.9547744075779326
LSPIN,lspin_tf,0.001,0.05,0,5,0.9606211029238372,0.917036933832924
LSPIN,lspin_tf,0.001,0.05,0,6,0.9793482608555716,0.9545874965318396
LSPIN,lspin_tf,0.001,0.05,0,7,0.943928743928446,0.8856246103655967
LSPIN,lspin_tf,0.001,0.05,0,8,0.9377138869589852,0.9045030706808512
LSPIN,lspin_tf,0.001,0.05,0,9,0.9173106002846246,0.8675434440822166
LSPIN,lspin_tf,0.001,0.05,1,2,0.9384645323005656,0.8832939444122365
LSPIN,lspin_tf,0.001,0.05,1,3,0.9583745078922437,0.917653797543582
LSPIN,lspin_tf,0.001,0.05,1,4,0.9592779062056712,0.9217726982712112
LSPIN,lspin_tf,0.001,0.05,1,5,0.975264456746431,0.9538961271618954
LSPIN,lspin_tf,0.001,0.05,1,6,0.94699038347232,0.8980164587851905
LSPIN,lspin_tf,0.001,0.05,1,7,0.9680353129742426,0.9484669804372228
LSPIN,lspin_tf,0.001,0.05,1,8,0.9647581998259196,0.9374111948205373
LSPIN,lspin_tf,0.001,0.05,1,9,0.9439167391467628,0.9002299448042534
LSPIN,lspin_tf,0.001,0.05,2,3,0.9559022785714834,0.9131697266300682
LSPIN,lspin_tf,0.001,0.05,2,4,0.959333133291264,0.921196032551456
LSPIN,lspin_tf,0.001,0.05,2,5,0.960083969036548,0.9143715644558628
LSPIN,lspin_tf,0.001,0.05,2,6,0.971659067722537,0.9561637050748084
LSPIN,lspin_tf,0.001,0.05,2,7,0.9434287632244264,0.8898099909672696
LSPIN,lspin_tf,0.001,0.05,2,8,0.9733587151500368,0.9397194182432466
LSPIN,lspin_tf,0.001,0.05,2,9,0.952323311331823,0.9020693777737988
LSPIN,lspin_tf,0.001,0.05,3,4,0.96417644683686,0.910530586179862
LSPIN,lspin_tf,0.001,0.05,3,5,0.9702539922287616,0.9230943739117016
LSPIN,lspin_tf,0.001,0.05,3,6,0.964206326658084,0.9195600928336796
LSPIN,lspin_tf,0.001,0.05,3,7,0.9657911212091892,0.921859731206408
LSPIN,lspin_tf,0.001,0.05,3,8,0.9518998451374002,0.9158455967855094
LSPIN,lspin_tf,0.001,0.05,3,9,0.9214301079515264,0.8468305426507062
LSPIN,lspin_tf,0.001,0.05,4,5,0.980946188814937,0.9524053285682308
LSPIN,lspin_tf,0.001,0.05,4,6,0.987198613758784,0.9646673665599168
LSPIN,lspin_tf,0.001,0.05,4,7,0.9640330696782676,0.9197379533131612
LSPIN,lspin_tf,0.001,0.05,4,8,0.9579939415827016,0.94029945640058
LSPIN,lspin_tf,0.001,0.05,4,9,0.9373800040919787,0.9030619537651384
LSPIN,lspin_tf,0.001,0.05,5,6,0.9688735398401708,0.9314779145089788
LSPIN,lspin_tf,0.001,0.05,5,7,0.982722101877132,0.9578512724881998
LSPIN,lspin_tf,0.001,0.05,5,8,0.958380200668754,0.9170903694904726
LSPIN,lspin_tf,0.001,0.05,5,9,0.9476620298315138,0.9112585972166296
LSPIN,lspin_tf,0.001,0.05,6,7,0.9522073916831048,0.9006829740498031
