model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,0.25,0.0011,0.15,320130,7,0.7182025894897182,0.7718168812589413,1,450.938232421875,0.9929824356103014,1073.0,995.0,791.9245124161812
LSPIN,lspin_tf,0.25,0.0011,0.15,320131,8,0.7257235338918507,0.7746781115879828,2,434.0308837890625,0.9933958445113232,1036.0,1002.0,698.117199180014
LSPIN,lspin_tf,0.25,0.0011,0.15,320132,9,0.694973343488195,0.7918454935622318,1,415.5173645019531,0.993578136024758,916.0,870.0,651.3534848831089
LSPIN,lspin_tf,0.25,0.0007,0.15,360123,0,0.727056359482102,0.7796852646638054,2,740.62548828125,0.9965957002211262,1364.0,1331.0,1080.4215899250098
LSPIN,lspin_tf,0.25,0.0007,0.15,360124,1,0.7156321401370906,0.7975679542203148,1,660.6486206054688,0.995628307560518,1404.0,1328.0,1045.9222654743076
LSPIN,lspin_tf,0.25,0.0007,0.15,360125,2,0.6957349581111958,0.759656652360515,1,785.478759765625,0.996650320458636,1564.0,1519.0,1200.6393230187357
LSPIN,lspin_tf,0.25,0.0007,0.15,360126,3,0.6754569687738005,0.7703862660944206,1,666.7181396484375,0.9960094789157528,1579.0,1456.0,1110.5224355771454
LSPIN,lspin_tf,0.25,0.0007,0.15,360127,4,0.7105864432597105,0.7675250357653791,1,601.9150390625,0.994513509073415,1200.0,1129.0,886.2333538520975
LSPIN,lspin_tf,0.25,0.0007,0.15,360128,5,0.7253427265803504,0.7839771101573677,1,703.0964965820312,0.9945760118795526,1392.0,1299.0,1123.4214834649267
LSPIN,lspin_tf,0.25,0.0007,0.15,360129,6,0.6884044173648134,0.7625178826895566,0,717.5443725585938,0.9969742094487366,1935.0,1554.0,1267.9779508400584
LSPIN,lspin_tf,0.25,0.0007,0.15,360130,7,0.7289603960396039,0.8118741058655222,2,644.8031005859375,0.9957954932691891,1311.0,1266.0,966.6600147204936
LSPIN,lspin_tf,0.25,0.0007,0.15,360131,8,0.740955826351866,0.7997138769670958,2,727.4053955078125,0.995414114920359,1363.0,1338.0,1079.812587540522
LSPIN,lspin_tf,0.25,0.0007,0.15,360132,9,0.7062071591774562,0.7682403433476395,1,593.146728515625,0.9947147606570762,1252.0,1133.0,895.0243073632937
LSPIN,lspin_tf,0.25,0.0011,0.2,400123,0,0.7279131759329779,0.7603719599427754,1,389.2471008300781,0.9933482537683748,949.0,888.0,612.876655369521
LSPIN,lspin_tf,0.25,0.0011,0.2,400124,1,0.6657463823305407,0.7796852646638054,0,430.66021728515625,0.994976210296271,1443.0,1170.0,891.55969760641
LSPIN,lspin_tf,0.25,0.0011,0.2,400125,2,0.7192498095963442,0.804005722460658,1,445.6795349121094,0.9944605728166944,1093.0,1025.0,771.3057222580279
LSPIN,lspin_tf,0.25,0.0011,0.2,400126,3,0.7184881949733435,0.8183118741058655,1,477.3667907714844,0.9931591961005,1111.0,1034.0,776.3034691855269
LSPIN,lspin_tf,0.25,0.0011,0.2,400127,4,0.7198210205635949,0.7839771101573677,1,409.2818603515625,0.9933311116370326,978.0,897.0,665.7461297751544
LSPIN,lspin_tf,0.25,0.0011,0.2,400128,5,0.7062071591774562,0.7954220314735336,2,488.3629455566406,0.9942146966000652,1182.0,1151.0,845.7278934073549
