histology,n_test,cindex,model_family,lambda_sparse,lambda_sample_smooth,seed
kidneypapillaryrenalcellcarcinoma,84,0.8233486943164362,LSPIN,0.0015,0.15,290124
kidneychromophobe,19,0.647887323943662,LSPIN,0.0015,0.15,290125
kidneyclearcellrenalcarcinoma,156,0.6689610668961067,LSPIN,0.0015,0.15,290125
kidneypapillaryrenalcellcarcinoma,84,0.7987711213517665,LSPIN,0.0015,0.15,290125
kidneychromophobe,19,0.7323943661971831,LSPIN,0.0015,0.15,290126
kidneyclearcellrenalcarcinoma,156,0.6670251667025167,LSPIN,0.0015,0.15,290126
kidneypapillaryrenalcellcarcinoma,84,0.7250384024577573,LSPIN,0.0015,0.15,290126
kidneychromophobe,19,0.6197183098591549,LSPIN,0.0015,0.15,290127
kidneyclearcellrenalcarcinoma,156,0.6751989675198967,LSPIN,0.0015,0.15,290127
kidneypapillaryrenalcellcarcinoma,84,0.8095238095238095,LSPIN,0.0015,0.15,290127
kidneychromophobe,19,0.5915492957746479,LSPIN,0.0015,0.15,290128
kidneyclearcellrenalcarcinoma,156,0.6672402667240267,LSPIN,0.0015,0.15,290128
kidneypapillaryrenalcellcarcinoma,84,0.6559139784946236,LSPIN,0.0015,0.15,290128
kidneychromophobe,19,0.7183098591549296,LSPIN,0.0015,0.15,290129
kidneyclearcellrenalcarcinoma,156,0.6962787696278769,LSPIN,0.0015,0.15,290129
kidneypapillaryrenalcellcarcinoma,84,0.7772657450076805,LSPIN,0.0015,0.15,290129
kidneychromophobe,19,0.676056338028169,LSPIN,0.0015,0.15,290130
kidneyclearcellrenalcarcinoma,156,0.6459453645945364,LSPIN,0.0015,0.15,290130
kidneypapillaryrenalcellcarcinoma,84,0.7680491551459293,LSPIN,0.0015,0.15,290130
kidneychromophobe,19,0.6197183098591549,LSPIN,0.0015,0.15,290131
kidneyclearcellrenalcarcinoma,156,0.6751989675198967,LSPIN,0.0015,0.15,290131
kidneypapillaryrenalcellcarcinoma,84,0.7818740399385561,LSPIN,0.0015,0.15,290131
kidneychromophobe,19,0.6338028169014085,LSPIN,0.0015,0.15,290132
kidneyclearcellrenalcarcinoma,156,0.6859539685953968,LSPIN,0.0015,0.15,290132
kidneypapillaryrenalcellcarcinoma,84,0.717357910906298,LSPIN,0.0015,0.15,290132
kidneychromophobe,19,0.6619718309859155,LSPIN,0.001,0.15,330123
kidneyclearcellrenalcarcinoma,156,0.6936975693697569,LSPIN,0.001,0.15,330123
kidneypapillaryrenalcellcarcinoma,84,0.7818740399385561,LSPIN,0.001,0.15,330123
kidneychromophobe,19,0.676056338028169,LSPIN,0.001,0.15,330124
kidneyclearcellrenalcarcinoma,156,0.696493869649387,LSPIN,0.001,0.15,330124
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,0.001,0.15,330124
kidneychromophobe,19,0.704225352112676,LSPIN,0.001,0.15,330125
kidneyclearcellrenalcarcinoma,156,0.6842331684233168,LSPIN,0.001,0.15,330125
kidneypapillaryrenalcellcarcinoma,84,0.7741935483870968,LSPIN,0.001,0.15,330125
kidneychromophobe,19,0.6901408450704225,LSPIN,0.001,0.15,330126
kidneyclearcellrenalcarcinoma,156,0.6640137664013767,LSPIN,0.001,0.15,330126
kidneypapillaryrenalcellcarcinoma,84,0.7496159754224271,LSPIN,0.001,0.15,330126
kidneychromophobe,19,0.6056338028169014,LSPIN,0.001,0.15,330127
kidneyclearcellrenalcarcinoma,156,0.6704667670466767,LSPIN,0.001,0.15,330127
kidneypapillaryrenalcellcarcinoma,84,0.728110599078341,LSPIN,0.001,0.15,330127
kidneychromophobe,19,0.6619718309859155,LSPIN,0.001,0.15,330128
kidneyclearcellrenalcarcinoma,156,0.6390621639062164,LSPIN,0.001,0.15,330128
kidneypapillaryrenalcellcarcinoma,84,0.7526881720430108,LSPIN,0.001,0.15,330128
kidneychromophobe,19,0.6056338028169014,LSPIN,0.001,0.15,330129
kidneyclearcellrenalcarcinoma,156,0.6745536674553667,LSPIN,0.001,0.15,330129
kidneypapillaryrenalcellcarcinoma,84,0.8325652841781874,LSPIN,0.001,0.15,330129
kidneychromophobe,19,0.676056338028169,LSPIN,0.001,0.15,330130
kidneyclearcellrenalcarcinoma,156,0.6618627661862766,LSPIN,0.001,0.15,330130
kidneypapillaryrenalcellcarcinoma,84,0.7849462365591398,LSPIN,0.001,0.15,330130
kidneychromophobe,19,0.6338028169014085,LSPIN,0.001,0.15,330131
kidneyclearcellrenalcarcinoma,156,0.6564852656485266,LSPIN,0.001,0.15,330131
kidneypapillaryrenalcellcarcinoma,84,0.847926267281106,LSPIN,0.001,0.15,330131
kidneychromophobe,19,0.6056338028169014,LSPIN,0.001,0.15,330132
kidneyclearcellrenalcarcinoma,156,0.6214239621423963,LSPIN,0.001,0.15,330132
kidneypapillaryrenalcellcarcinoma,84,0.7634408602150538,LSPIN,0.001,0.15,330132
kidneychromophobe,19,0.7183098591549296,LSPIN,0.0015,0.2,370123
kidneyclearcellrenalcarcinoma,156,0.6715422671542267,LSPIN,0.0015,0.2,370123
kidneypapillaryrenalcellcarcinoma,84,0.8064516129032258,LSPIN,0.0015,0.2,370123
kidneychromophobe,19,0.6056338028169014,LSPIN,0.0015,0.2,370124
kidneyclearcellrenalcarcinoma,156,0.6807915680791569,LSPIN,0.0015,0.2,370124
kidneypapillaryrenalcellcarcinoma,84,0.8064516129032258,LSPIN,0.0015,0.2,370124
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0015,0.2,370125
kidneyclearcellrenalcarcinoma,156,0.6597117659711766,LSPIN,0.0015,0.2,370125
kidneypapillaryrenalcellcarcinoma,84,0.7726574500768049,LSPIN,0.0015,0.2,370125
kidneychromophobe,19,0.647887323943662,LSPIN,0.0015,0.2,370126
kidneyclearcellrenalcarcinoma,156,0.697354269735427,LSPIN,0.0015,0.2,370126
kidneypapillaryrenalcellcarcinoma,84,0.6989247311827957,LSPIN,0.0015,0.2,370126
kidneychromophobe,19,0.6197183098591549,LSPIN,0.0015,0.2,370127
kidneyclearcellrenalcarcinoma,156,0.6123897612389761,LSPIN,0.0015,0.2,370127
kidneypapillaryrenalcellcarcinoma,84,0.6328725038402457,LSPIN,0.0015,0.2,370127
kidneychromophobe,19,0.6619718309859155,LSPIN,0.0015,0.2,370128
kidneyclearcellrenalcarcinoma,156,0.6711120671112067,LSPIN,0.0015,0.2,370128
kidneypapillaryrenalcellcarcinoma,84,0.7480798771121352,LSPIN,0.0015,0.2,370128
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0015,0.2,370129
kidneyclearcellrenalcarcinoma,156,0.6627231662723166,LSPIN,0.0015,0.2,370129
kidneypapillaryrenalcellcarcinoma,84,0.7649769585253456,LSPIN,0.0015,0.2,370129
kidneychromophobe,19,0.6338028169014085,LSPIN,0.0015,0.2,370130
kidneyclearcellrenalcarcinoma,156,0.6687459668745966,LSPIN,0.0015,0.2,370130
kidneypapillaryrenalcellcarcinoma,84,0.8125960061443932,LSPIN,0.0015,0.2,370130
