model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,0.0008,0.0,0,3,0.9004068669228028,4.02292899408284,0.6774193548387096,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0008,0.0,0,4,0.8236443242167405,2.7777366863905324,0.3866666666666666,3.735576923076923,0.6
LSPIN,lspin_tf,0.0008,0.0,0,5,0.865633903653099,3.448224852071006,0.5294117647058824,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,0.0008,0.0,0,6,0.8894913078013362,3.927144970414201,0.6507936507936508,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,0.0008,0.0,0,7,0.761043279982528,2.9693047337278107,0.4246575342465753,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,0.0008,0.0,0,8,0.8922563807141274,3.448224852071006,0.5294117647058824,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,0.0008,0.0,0,9,0.8626269718840152,4.02292899408284,0.6774193548387096,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,0.0008,0.0,1,2,0.8663171303431311,3.639792899408284,0.5757575757575758,3.831360946745562,0.625
LSPIN,lspin_tf,0.0008,0.0,1,3,0.8490149244444982,3.639792899408284,0.5757575757575758,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0008,0.0,1,4,0.761709856088462,2.9693047337278107,0.4246575342465753,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0008,0.0,1,5,0.7578558771133452,2.9693047337278107,0.4246575342465753,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,0.0008,0.0,1,6,0.8321384696031053,3.448224852071006,0.5294117647058824,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,0.0008,0.0,1,7,0.6526475689452985,2.7777366863905324,0.3866666666666666,2.586168639053254,0.3506493506493506
LSPIN,lspin_tf,0.0008,0.0,1,8,0.864954394818655,3.448224852071006,0.5294117647058824,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,0.0008,0.0,1,9,0.8067904379175082,3.639792899408284,0.5757575757575758,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,0.0008,0.0,2,3,0.8641865138542754,3.831360946745562,0.625,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0008,0.0,2,4,0.8587772211393694,2.586168639053254,0.3506493506493506,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,0.0008,0.0,2,5,0.8420039228043169,3.352440828402367,0.5072463768115942,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,0.0008,0.0,2,6,0.8942671941997754,3.831360946745562,0.625,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,0.0008,0.0,2,7,0.7562679156503809,2.586168639053254,0.3506493506493506,2.586168639053254,0.3506493506493506
LSPIN,lspin_tf,0.0008,0.0,2,8,0.8960605707821394,3.639792899408284,0.5757575757575758,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,0.0008,0.0,2,9,0.7662412924186618,3.927144970414201,0.6507936507936508,2.586168639053254,0.3506493506493506
LSPIN,lspin_tf,0.0008,0.0,3,4,0.8071286117934029,2.3946005917159763,0.3164556962025316,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,0.0008,0.0,3,5,0.8385261162086094,3.256656804733728,0.4857142857142857,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,0.0008,0.0,3,6,0.9116462653474664,4.214497041420118,0.7333333333333333,3.831360946745562,0.625
LSPIN,lspin_tf,0.0008,0.0,3,7,0.730195645265009,2.586168639053254,0.3506493506493506,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,0.0008,0.0,3,8,0.8685726840106474,3.5440088757396446,0.5522388059701493,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,0.0008,0.0,3,9,0.8647751264002276,3.927144970414201,0.6507936507936508,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,0.0008,0.0,4,5,0.8602697401537371,2.8735207100591715,0.4054054054054054,3.735576923076923,0.6
LSPIN,lspin_tf,0.0008,0.0,4,6,0.8471016217339999,2.4903846153846154,0.3333333333333333,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,0.0008,0.0,4,7,0.8621323957689943,2.9693047337278107,0.4246575342465753,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,0.0008,0.0,4,8,0.8591200881291029,3.0650887573964494,0.4444444444444444,3.831360946745562,0.625
LSPIN,lspin_tf,0.0008,0.0,4,9,0.7860309246440579,2.9693047337278107,0.4246575342465753,3.735576923076923,0.6
LSPIN,lspin_tf,0.0008,0.0,5,6,0.86566558813055,3.256656804733728,0.4857142857142857,3.5440088757396446,0.5522388059701493
