model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,global_cfg_idx,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
L-Concrete,concrete,linear,0.0066,0.2,1,2,216,0.6759501252786637,2.429075333837239,0.3263157894736842,2.742504409171076,0.3846153846153846
L-Concrete,concrete,linear,0.0066,0.2,1,3,216,0.6427775360813164,2.2723607961703203,0.2989690721649484,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.0066,0.2,1,4,216,0.6398486627750869,2.8992189468379945,0.4157303370786517,2.429075333837239,0.3263157894736842
L-Concrete,concrete,linear,0.0066,0.2,1,5,216,0.6526642776848177,2.742504409171076,0.3846153846153846,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.0066,0.2,1,6,216,0.6697707319077462,2.8208616780045355,0.4,2.5857898715041574,0.3548387096774194
L-Concrete,concrete,linear,0.0066,0.2,1,7,216,0.6042134195775598,1.880574452003024,0.2352941176470588,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.0066,0.2,2,3,216,0.6712174130081625,2.8992189468379945,0.4157303370786517,2.3507180650037798,0.3125
L-Concrete,concrete,linear,0.0066,0.2,2,4,216,0.6555049783939181,3.055933484504913,0.4482758620689655,2.1156462585034013,0.2727272727272727
L-Concrete,concrete,linear,0.0066,0.2,2,5,216,0.6486165417983304,2.429075333837239,0.3263157894736842,2.6641471403376165,0.3695652173913043
L-Concrete,concrete,linear,0.0066,0.2,2,6,216,0.6425645553505732,2.8992189468379945,0.4157303370786517,2.429075333837239,0.3263157894736842
L-Concrete,concrete,linear,0.0066,0.2,2,7,216,0.650430074696557,2.429075333837239,0.3263157894736842,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.0066,0.2,3,4,216,0.6377785447578259,2.5857898715041574,0.3548387096774194,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.0066,0.2,3,5,216,0.6637504520204729,2.8992189468379945,0.4157303370786517,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.0066,0.2,3,6,216,0.7016906561088494,3.212648022171832,0.4823529411764706,2.5857898715041574,0.3548387096774194
L-Concrete,concrete,linear,0.0066,0.2,3,7,216,0.6794478585322741,2.742504409171076,0.3846153846153846,3.1342907533383726,0.4651162790697674
L-Concrete,concrete,linear,0.0066,0.2,4,5,216,0.6305761275661891,2.8992189468379945,0.4157303370786517,2.6641471403376165,0.3695652173913043
L-Concrete,concrete,linear,0.0066,0.2,4,6,216,0.638718453190079,2.742504409171076,0.3846153846153846,2.5857898715041574,0.3548387096774194
L-Concrete,concrete,linear,0.0066,0.2,4,7,216,0.6317216382657898,2.742504409171076,0.3846153846153846,2.8208616780045355,0.4
L-Concrete,concrete,linear,0.0066,0.2,5,6,216,0.7002700070764,3.055933484504913,0.4482758620689655,2.8992189468379945,0.4157303370786517
L-Concrete,concrete,linear,0.0066,0.2,5,7,216,0.6824508094918506,2.507432602670698,0.3404255319148936,2.8208616780045355,0.4
L-Concrete,concrete,linear,0.0066,0.2,6,7,216,0.6274594259966492,2.6641471403376165,0.3695652173913043,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.00275,0.4,0,1,220,0.7861390889101326,2.8992189468379945,0.4157303370786517,2.8992189468379945,0.4157303370786517
L-Concrete,concrete,linear,0.00275,0.4,0,2,220,0.8550245796644328,3.291005291005291,0.5,3.212648022171832,0.4823529411764706
L-Concrete,concrete,linear,0.00275,0.4,0,3,220,0.8076084464727699,3.1342907533383726,0.4651162790697674,3.291005291005291,0.5
L-Concrete,concrete,linear,0.00275,0.4,0,4,220,0.7898707736464272,3.3693625598387507,0.5180722891566265,3.055933484504913,0.4482758620689655
L-Concrete,concrete,linear,0.00275,0.4,0,5,220,0.8035593329172178,3.212648022171832,0.4823529411764706,3.212648022171832,0.4823529411764706
L-Concrete,concrete,linear,0.00275,0.4,0,6,220,0.7945310791130281,3.4477198286722097,0.5365853658536586,3.1342907533383726,0.4651162790697674
L-Concrete,concrete,linear,0.00275,0.4,0,7,220,0.8013010829725264,3.4477198286722097,0.5365853658536586,3.3693625598387507,0.5180722891566265
L-Concrete,concrete,linear,0.00275,0.4,1,2,220,0.800135095102617,3.291005291005291,0.5,3.212648022171832,0.4823529411764706
L-Concrete,concrete,linear,0.00275,0.4,1,3,220,0.738331125201876,2.8208616780045355,0.4,2.977576215671454,0.4318181818181818
L-Concrete,concrete,linear,0.00275,0.4,1,4,220,0.7558691437875849,2.8992189468379945,0.4157303370786517,3.055933484504913,0.4482758620689655
L-Concrete,concrete,linear,0.00275,0.4,1,5,220,0.782981117397159,2.977576215671454,0.4318181818181818,2.977576215671454,0.4318181818181818
L-Concrete,concrete,linear,0.00275,0.4,1,6,220,0.7527744933942951,2.977576215671454,0.4318181818181818,2.8992189468379945,0.4157303370786517
L-Concrete,concrete,linear,0.00275,0.4,1,7,220,0.7438543788749185,2.6641471403376165,0.3695652173913043,3.1342907533383726,0.4651162790697674
L-Concrete,concrete,linear,0.00275,0.4,2,3,220,0.7664333738961941,3.1342907533383726,0.4651162790697674,2.977576215671454,0.4318181818181818
L-Concrete,concrete,linear,0.00275,0.4,2,4,220,0.8077639622664513,3.4477198286722097,0.5365853658536586,3.212648022171832,0.4823529411764706
