model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,global_cfg_idx,affinity_corr
LSPIN,lspin_tf,mlp,0.0105,0.1,2,6,45,0.8640104629723856
LSPIN,lspin_tf,mlp,0.0105,0.1,2,7,45,0.7719699186366322
LSPIN,lspin_tf,mlp,0.0105,0.1,3,4,45,0.8683533635140351
LSPIN,lspin_tf,mlp,0.0105,0.1,3,5,45,0.8193866267246144
LSPIN,lspin_tf,mlp,0.0105,0.1,3,6,45,0.9151745359936512
LSPIN,lspin_tf,mlp,0.0105,0.1,3,7,45,0.821337856927559
LSPIN,lspin_tf,mlp,0.0105,0.1,4,5,45,0.9120764036237708
LSPIN,lspin_tf,mlp,0.0105,0.1,4,6,45,0.8941352554596215
LSPIN,lspin_tf,mlp,0.0105,0.1,4,7,45,0.9254097798048596
LSPIN,lspin_tf,mlp,0.0105,0.1,5,6,45,0.840722163162217
LSPIN,lspin_tf,mlp,0.0105,0.1,5,7,45,0.9262747273114644
