histology,n_test,cindex,global_cfg_idx,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.6288052373158756,33,LSPIN,mlp,0.0035,0.0,330129
infiltratinglobularcarcinoma,60,0.4814814814814814,33,LSPIN,mlp,0.0035,0.0,330129
other,23,0.4864864864864865,33,LSPIN,mlp,0.0035,0.0,330129
infiltratingductalcarcinoma,220,0.5816693944353519,33,LSPIN,mlp,0.0035,0.0,330130
infiltratinglobularcarcinoma,60,0.6243386243386243,33,LSPIN,mlp,0.0035,0.0,330130
other,23,0.5405405405405406,33,LSPIN,mlp,0.0035,0.0,330130
infiltratingductalcarcinoma,220,0.6088379705400983,37,LSPIN,mlp,0.0105,0.0,370123
infiltratinglobularcarcinoma,60,0.6931216931216931,37,LSPIN,mlp,0.0105,0.0,370123
other,23,0.5405405405405406,37,LSPIN,mlp,0.0105,0.0,370123
infiltratingductalcarcinoma,220,0.7024549918166939,37,LSPIN,mlp,0.0105,0.0,370124
infiltratinglobularcarcinoma,60,0.4814814814814814,37,LSPIN,mlp,0.0105,0.0,370124
other,23,0.3783783783783784,37,LSPIN,mlp,0.0105,0.0,370124
infiltratingductalcarcinoma,220,0.6877250409165303,37,LSPIN,mlp,0.0105,0.0,370125
infiltratinglobularcarcinoma,60,0.4656084656084656,37,LSPIN,mlp,0.0105,0.0,370125
other,23,0.4594594594594595,37,LSPIN,mlp,0.0105,0.0,370125
infiltratingductalcarcinoma,220,0.6661211129296236,37,LSPIN,mlp,0.0105,0.0,370126
infiltratinglobularcarcinoma,60,0.492063492063492,37,LSPIN,mlp,0.0105,0.0,370126
other,23,0.5675675675675675,37,LSPIN,mlp,0.0105,0.0,370126
infiltratingductalcarcinoma,220,0.5266775777414076,37,LSPIN,mlp,0.0105,0.0,370127
infiltratinglobularcarcinoma,60,0.5661375661375662,37,LSPIN,mlp,0.0105,0.0,370127
other,23,0.6486486486486487,37,LSPIN,mlp,0.0105,0.0,370127
infiltratingductalcarcinoma,220,0.7011456628477906,37,LSPIN,mlp,0.0105,0.0,370128
infiltratinglobularcarcinoma,60,0.6349206349206349,37,LSPIN,mlp,0.0105,0.0,370128
other,23,0.5945945945945946,37,LSPIN,mlp,0.0105,0.0,370128
infiltratingductalcarcinoma,220,0.6009819967266776,37,LSPIN,mlp,0.0105,0.0,370129
infiltratinglobularcarcinoma,60,0.5291005291005291,37,LSPIN,mlp,0.0105,0.0,370129
other,23,0.5675675675675675,37,LSPIN,mlp,0.0105,0.0,370129
infiltratingductalcarcinoma,220,0.5738134206219313,37,LSPIN,mlp,0.0105,0.0,370130
infiltratinglobularcarcinoma,60,0.6931216931216931,37,LSPIN,mlp,0.0105,0.0,370130
other,23,0.4054054054054054,37,LSPIN,mlp,0.0105,0.0,370130
