global_cfg_idx,model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
65,Concrete,concrete,mlp,0.15,0.0011,0.0,650127,4,0.6052416052416052,0.8914473684210527,38,495.5787658691406,0.9859580377131536,10432.0,2302.0,3685.854229574323
65,Concrete,concrete,mlp,0.15,0.0011,0.0,650128,5,0.589025389025389,0.8009868421052632,7,787.6302490234375,0.993125873161317,14479.0,4038.0,5952.4504760529135
65,Concrete,concrete,mlp,0.15,0.0011,0.0,650129,6,0.5972153972153972,0.8634868421052632,30,443.6655883789063,0.9787321153439849,10223.0,2160.0,3673.96699303083
65,Concrete,concrete,mlp,0.15,0.0011,0.0,650130,7,0.6376740376740376,0.8601973684210527,10,730.77490234375,0.98312665507206,13636.0,3521.0,5166.269299556121
69,Concrete,concrete,mlp,0.15,0.0033,0.0,690123,0,0.648976248976249,0.8240131578947368,22,177.1286163330078,0.9447344188160984,7097.0,788.0,2118.3707409338945
69,Concrete,concrete,mlp,0.15,0.0033,0.0,690124,1,0.6895986895986896,0.8157894736842105,8,217.10289001464844,0.9682915106320322,7435.0,1012.0,2439.5723530844257
69,Concrete,concrete,mlp,0.15,0.0033,0.0,690125,2,0.6304668304668305,0.8618421052631579,10,145.69131469726562,0.9605893818684508,6090.0,693.0,1942.318789553388
69,Concrete,concrete,mlp,0.15,0.0033,0.0,690126,3,0.6512694512694512,0.8717105263157895,15,185.1607666015625,0.9462188895155682,7363.0,715.0,1990.3761561182787
69,Concrete,concrete,mlp,0.15,0.0033,0.0,690127,4,0.5942669942669943,0.8322368421052632,18,177.47267150878906,0.959640844513707,6795.0,834.0,2231.580057744829
69,Concrete,concrete,mlp,0.15,0.0033,0.0,690128,5,0.5521703521703522,0.8486842105263158,13,142.0032196044922,0.950714100759072,6404.0,636.0,1986.0332692097825
69,Concrete,concrete,mlp,0.15,0.0033,0.0,690129,6,0.6244062244062244,0.9046052631578948,10,200.91961669921875,0.9533385993824915,8003.0,821.0,2319.993971782597
69,Concrete,concrete,mlp,0.15,0.0033,0.0,690130,7,0.6085176085176085,0.8601973684210527,13,179.15756225585938,0.9627578789777702,7796.0,854.0,2546.9891041943747
73,Concrete,concrete,mlp,0.15,0.0011,0.1,730123,0,0.600982800982801,0.850328947368421,11,929.6270141601562,0.9758653275624654,4860.0,1325.0,1273.7061028851251
73,Concrete,concrete,mlp,0.15,0.0011,0.1,730124,1,0.6175266175266175,0.8322368421052632,9,900.2572631835938,0.9806928650079316,4450.0,1334.0,1247.615434820788
