model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
Concrete,concrete,0.15,0.0012,0.0,0,1,0.686815317921412
Concrete,concrete,0.15,0.0012,0.0,0,2,0.7147215326674367
Concrete,concrete,0.15,0.0012,0.0,1,2,0.6815902575170004
Concrete,concrete,0.15,0.001,0.0,0,1,0.7490388441990745
Concrete,concrete,0.15,0.001,0.0,0,2,0.7255582942712065
Concrete,concrete,0.15,0.001,0.0,1,2,0.5918859507679768
Concrete,concrete,0.12,0.002,0.0,0,1,0.7508843843881307
Concrete,concrete,0.12,0.002,0.0,0,2,0.7090583807530393
Concrete,concrete,0.12,0.002,0.0,1,2,0.5327739652410579
Concrete,concrete,0.12,0.0017,0.0,0,1,0.7449704947404612
Concrete,concrete,0.12,0.0017,0.0,0,2,0.7590452675300527
Concrete,concrete,0.12,0.0017,0.0,1,2,0.7922664038620519
Concrete,concrete,0.12,0.0014,0.0,0,1,0.6360547982708789
Concrete,concrete,0.12,0.0014,0.0,0,2,0.5143217737996919
Concrete,concrete,0.12,0.0014,0.0,1,2,0.7042961031976331
Concrete,concrete,0.12,0.0012,0.0,0,1,0.7989291743570209
Concrete,concrete,0.12,0.0012,0.0,0,2,0.6655915551909614
Concrete,concrete,0.12,0.0012,0.0,1,2,0.6722035301259623
Concrete,concrete,0.12,0.001,0.0,0,1,0.6253887316237005
Concrete,concrete,0.12,0.001,0.0,0,2,0.5797929771625646
Concrete,concrete,0.12,0.001,0.0,1,2,0.4191720453123495
L-Concrete,concrete,0.15,0.003,0.0,0,1,0.4121761564771906
L-Concrete,concrete,0.15,0.003,0.0,0,2,0.5207515271254973
L-Concrete,concrete,0.15,0.003,0.0,1,2,0.4968891354766803
L-Concrete,concrete,0.15,0.0023,0.0,0,1,0.5436169532067401
L-Concrete,concrete,0.15,0.0023,0.0,0,2,0.5891238494445823
L-Concrete,concrete,0.15,0.0023,0.0,1,2,0.4506335654005322
L-Concrete,concrete,0.15,0.0018,0.0,0,1,0.593676716752639
L-Concrete,concrete,0.15,0.0018,0.0,0,2,0.7125485252053392
L-Concrete,concrete,0.15,0.0018,0.0,1,2,0.6522286924104704
L-Concrete,concrete,0.15,0.0014,0.0,0,1,0.6885283646870369
L-Concrete,concrete,0.15,0.0014,0.0,0,2,0.6081756217019123
L-Concrete,concrete,0.15,0.0014,0.0,1,2,0.7760848702147018
L-Concrete,concrete,0.15,0.0012,0.0,0,1,0.6083901543731266
L-Concrete,concrete,0.15,0.0012,0.0,0,2,0.5787437136606842
L-Concrete,concrete,0.15,0.0012,0.0,1,2,0.7219601532987978
L-Concrete,concrete,0.12,0.003,0.0,0,1,0.693745838370689
L-Concrete,concrete,0.12,0.003,0.0,0,2,0.4705590309865349
L-Concrete,concrete,0.12,0.003,0.0,1,2,0.5429443042039919
L-Concrete,concrete,0.12,0.0023,0.0,0,1,0.5882696028676788
L-Concrete,concrete,0.12,0.0023,0.0,0,2,0.6795564498414767
L-Concrete,concrete,0.12,0.0023,0.0,1,2,0.4625323196908437
L-Concrete,concrete,0.12,0.0018,0.0,0,1,0.6643121517486774
L-Concrete,concrete,0.12,0.0018,0.0,0,2,0.6547066612008201
L-Concrete,concrete,0.12,0.0018,0.0,1,2,0.69399306986173
L-Concrete,concrete,0.12,0.0014,0.0,0,1,0.5617254071117234
L-Concrete,concrete,0.12,0.0014,0.0,0,2,0.6214864605604681
L-Concrete,concrete,0.12,0.0014,0.0,1,2,0.6076054838611296
L-Concrete,concrete,0.12,0.0012,0.0,0,1,0.6687633171568417
L-Concrete,concrete,0.12,0.0012,0.0,0,2,0.7013914460457448
L-Concrete,concrete,0.12,0.0012,0.0,1,2,0.6494168956020929
LSPIN,lspin_tf,0.2,0.0012,0.05,0,1,0.6623179862879189
LSPIN,lspin_tf,0.2,0.0012,0.05,0,2,0.8267928202700767
LSPIN,lspin_tf,0.2,0.0012,0.05,1,2,0.8277879359550661
LSPIN,lspin_tf,0.2,0.0009,0.05,0,1,0.7174715076963559
LSPIN,lspin_tf,0.2,0.0009,0.05,0,2,0.8318568393658989
LSPIN,lspin_tf,0.2,0.0009,0.05,1,2,0.730477405520842
LSPIN,lspin_tf,0.2,0.0007,0.05,0,1,0.7466982464148556
LSPIN,lspin_tf,0.2,0.0007,0.05,0,2,0.6860545878199459
LSPIN,lspin_tf,0.2,0.0007,0.05,1,2,0.7427619227845315
LSPIN,lspin_tf,0.2,0.0006,0.05,0,1,0.6425163651830479
LSPIN,lspin_tf,0.2,0.0006,0.05,0,2,0.6016942898553298
LSPIN,lspin_tf,0.2,0.0006,0.05,1,2,0.7533214892883343
LSPIN,lspin_tf,0.2,0.0005,0.05,0,1,0.8682843176120117
LSPIN,lspin_tf,0.2,0.0005,0.05,0,2,0.7501069153967928
LSPIN,lspin_tf,0.2,0.0005,0.05,1,2,0.7529532159143651
LSPIN,lspin_tf,0.17,0.0012,0.05,0,1,0.8023606732596
LSPIN,lspin_tf,0.17,0.0012,0.05,0,2,0.7562507835066368
LSPIN,lspin_tf,0.17,0.0012,0.05,1,2,0.7802408205731173
LSPIN,lspin_tf,0.17,0.0009,0.05,0,1,0.7620723304323114
LSPIN,lspin_tf,0.17,0.0009,0.05,0,2,0.6967979259026889
LSPIN,lspin_tf,0.17,0.0009,0.05,1,2,0.7509249602026523
LSPIN,lspin_tf,0.17,0.0007,0.05,0,1,0.7999765034850497
LSPIN,lspin_tf,0.17,0.0007,0.05,0,2,0.7445097231366546
LSPIN,lspin_tf,0.17,0.0007,0.05,1,2,0.8273065416611167
LSPIN,lspin_tf,0.17,0.0006,0.05,0,1,0.6935410651238103
LSPIN,lspin_tf,0.17,0.0006,0.05,0,2,0.8629037090286799
LSPIN,lspin_tf,0.17,0.0006,0.05,1,2,0.7051421327686942
LSPIN,lspin_tf,0.17,0.0005,0.05,0,1,0.7647577937003204
LSPIN,lspin_tf,0.17,0.0005,0.05,0,2,0.7871923690648776
LSPIN,lspin_tf,0.17,0.0005,0.05,1,2,0.7352041902977362
L-LSPIN,lspin_tf,0.2,0.0025,0.05,0,1,0.6441797781951719
L-LSPIN,lspin_tf,0.2,0.0025,0.05,0,2,0.7295642625812473
L-LSPIN,lspin_tf,0.2,0.0025,0.05,1,2,0.5708477055354919
L-LSPIN,lspin_tf,0.2,0.0018,0.05,0,1,0.5305209559941585
L-LSPIN,lspin_tf,0.2,0.0018,0.05,0,2,0.6244246266204037
L-LSPIN,lspin_tf,0.2,0.0018,0.05,1,2,0.6277989476695409
L-LSPIN,lspin_tf,0.2,0.0014,0.05,0,1,0.631731533381077
L-LSPIN,lspin_tf,0.2,0.0014,0.05,0,2,0.6871703762987107
L-LSPIN,lspin_tf,0.2,0.0014,0.05,1,2,0.777124182666766
L-LSPIN,lspin_tf,0.2,0.0011,0.05,0,1,0.6513944582555238
L-LSPIN,lspin_tf,0.2,0.0011,0.05,0,2,0.6401156391496479
L-LSPIN,lspin_tf,0.2,0.0011,0.05,1,2,0.9167006690260496
L-LSPIN,lspin_tf,0.2,0.0009,0.05,0,1,0.7101047958557123
L-LSPIN,lspin_tf,0.2,0.0009,0.05,0,2,0.7363910793426311
L-LSPIN,lspin_tf,0.2,0.0009,0.05,1,2,0.6131144357075862
L-LSPIN,lspin_tf,0.17,0.0025,0.05,0,1,0.7542433750198537
L-LSPIN,lspin_tf,0.17,0.0025,0.05,0,2,0.5318666667511888
L-LSPIN,lspin_tf,0.17,0.0025,0.05,1,2,0.4681643340844664
L-LSPIN,lspin_tf,0.17,0.0018,0.05,0,1,0.6959464988951068
L-LSPIN,lspin_tf,0.17,0.0018,0.05,0,2,0.5752480181723898
L-LSPIN,lspin_tf,0.17,0.0018,0.05,1,2,0.5083767187492635
L-LSPIN,lspin_tf,0.17,0.0014,0.05,0,1,0.7185437433363276
L-LSPIN,lspin_tf,0.17,0.0014,0.05,0,2,0.7228208822410341
L-LSPIN,lspin_tf,0.17,0.0014,0.05,1,2,0.7827394198607991
L-LSPIN,lspin_tf,0.17,0.0011,0.05,0,1,0.7196600747872739
L-LSPIN,lspin_tf,0.17,0.0011,0.05,0,2,0.7298866803327737
L-LSPIN,lspin_tf,0.17,0.0011,0.05,1,2,0.6933771647393195
L-LSPIN,lspin_tf,0.17,0.0009,0.05,0,1,0.6519333120545183
L-LSPIN,lspin_tf,0.17,0.0009,0.05,0,2,0.7217251714245987
L-LSPIN,lspin_tf,0.17,0.0009,0.05,1,2,0.6834858133488424
Concrete,concrete,0.15,0.002,0.05,0,1,0.8734998292089625
Concrete,concrete,0.15,0.002,0.05,0,2,0.7240698741093848
Concrete,concrete,0.15,0.002,0.05,1,2,0.6842527229788627
Concrete,concrete,0.15,0.0017,0.05,0,1,0.8150572774728472
Concrete,concrete,0.15,0.0017,0.05,0,2,0.6666630146995027
Concrete,concrete,0.15,0.0017,0.05,1,2,0.6211702665339036
Concrete,concrete,0.15,0.0014,0.05,0,1,0.6246171287445265
Concrete,concrete,0.15,0.0014,0.05,0,2,0.5827569328107118
Concrete,concrete,0.15,0.0014,0.05,1,2,0.6419791728663133
Concrete,concrete,0.15,0.0012,0.05,0,1,0.5427667620643872
Concrete,concrete,0.15,0.0012,0.05,0,2,0.6859092987197188
Concrete,concrete,0.15,0.0012,0.05,1,2,0.784784035382487
Concrete,concrete,0.15,0.001,0.05,0,1,0.8261900297086355
Concrete,concrete,0.15,0.001,0.05,0,2,0.6877974967113766
Concrete,concrete,0.15,0.001,0.05,1,2,0.5442924843124509
Concrete,concrete,0.12,0.002,0.05,0,1,0.6839961897496392
Concrete,concrete,0.12,0.002,0.05,0,2,0.8289175470741598
Concrete,concrete,0.12,0.002,0.05,1,2,0.7899419062139506
Concrete,concrete,0.12,0.0017,0.05,0,1,0.5729600958534203
Concrete,concrete,0.12,0.0017,0.05,0,2,0.686772703529762
Concrete,concrete,0.12,0.0017,0.05,1,2,0.6856922980845452
Concrete,concrete,0.12,0.0014,0.05,0,1,0.7297346422117947
Concrete,concrete,0.12,0.0014,0.05,0,2,0.8483526909803492
Concrete,concrete,0.12,0.0014,0.05,1,2,0.7102807520902584
Concrete,concrete,0.12,0.0012,0.05,0,1,0.6502665868594514
Concrete,concrete,0.12,0.0012,0.05,0,2,0.7356101013196893
Concrete,concrete,0.12,0.0012,0.05,1,2,0.5866012567819872
Concrete,concrete,0.12,0.001,0.05,0,1,0.6519996678191864
Concrete,concrete,0.12,0.001,0.05,0,2,0.7997578256394811
Concrete,concrete,0.12,0.001,0.05,1,2,0.6644271357472842
L-Concrete,concrete,0.15,0.003,0.05,0,1,0.4341285149411423
L-Concrete,concrete,0.15,0.003,0.05,0,2,0.3388450582623539
L-Concrete,concrete,0.15,0.003,0.05,1,2,0.7783284950521645
L-Concrete,concrete,0.15,0.0023,0.05,0,1,0.8530385878909992
L-Concrete,concrete,0.15,0.0023,0.05,0,2,0.4651367399988225
L-Concrete,concrete,0.15,0.0023,0.05,1,2,0.5003764988699897
L-Concrete,concrete,0.15,0.0018,0.05,0,1,0.5702465190053878
L-Concrete,concrete,0.15,0.0018,0.05,0,2,0.4503115901336458
