histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
KIRP,85,0.8534743202416919,LSPIN,0.2,0.0007,0.15,110124
LGG,152,0.7692019482952417,LSPIN,0.2,0.0007,0.15,110124
LIHC,110,0.648991784914115,LSPIN,0.2,0.0007,0.15,110124
LUAD,150,0.697594501718213,LSPIN,0.2,0.0007,0.15,110124
LUSC,148,0.546031746031746,LSPIN,0.2,0.0007,0.15,110124
MESO,25,0.7750865051903114,LSPIN,0.2,0.0007,0.15,110124
OV,112,0.5400890868596881,LSPIN,0.2,0.0007,0.15,110124
PAAD,53,0.6945500633713562,LSPIN,0.2,0.0007,0.15,110124
PCPG,53,0.9,LSPIN,0.2,0.0007,0.15,110124
PRAD,149,0.1339285714285714,LSPIN,0.2,0.0007,0.15,110124
READ,47,0.5258215962441315,LSPIN,0.2,0.0007,0.15,110124
SARC,77,0.718132854578097,LSPIN,0.2,0.0007,0.15,110124
SKCM,29,0.314516129032258,LSPIN,0.2,0.0007,0.15,110124
STAD,105,0.5069648093841642,LSPIN,0.2,0.0007,0.15,110124
TGCT,40,0.3611111111111111,LSPIN,0.2,0.0007,0.15,110124
THCA,150,0.7,LSPIN,0.2,0.0007,0.15,110124
THYM,35,0.88,LSPIN,0.2,0.0007,0.15,110124
UCEC,162,0.6338276836158192,LSPIN,0.2,0.0007,0.15,110124
UCS,16,0.7777777777777778,LSPIN,0.2,0.0007,0.15,110124
UVM,24,0.6909090909090909,LSPIN,0.2,0.0007,0.15,110124
ACC,24,0.849624060150376,LSPIN,0.2,0.0007,0.15,110125
BLCA,121,0.6046511627906976,LSPIN,0.2,0.0007,0.15,110125
BRCA,321,0.636431784107946,LSPIN,0.2,0.0007,0.15,110125
CESC,87,0.6996805111821086,LSPIN,0.2,0.0007,0.15,110125
CHOL,11,0.4242424242424242,LSPIN,0.2,0.0007,0.15,110125
COAD,130,0.5910028889806026,LSPIN,0.2,0.0007,0.15,110125
DLBC,14,0.6222222222222222,LSPIN,0.2,0.0007,0.15,110125
ESCA,48,0.5718085106382979,LSPIN,0.2,0.0007,0.15,110125
GBM,46,0.5631313131313131,LSPIN,0.2,0.0007,0.15,110125
HNSC,150,0.5971896955503513,LSPIN,0.2,0.0007,0.15,110125
KICH,19,1.0,LSPIN,0.2,0.0007,0.15,110125
KIRC,158,0.6609139046871936,LSPIN,0.2,0.0007,0.15,110125
KIRP,85,0.8957703927492447,LSPIN,0.2,0.0007,0.15,110125
LGG,152,0.7613338328962158,LSPIN,0.2,0.0007,0.15,110125
LIHC,110,0.6482449589245706,LSPIN,0.2,0.0007,0.15,110125
LUAD,150,0.6606023852840105,LSPIN,0.2,0.0007,0.15,110125
LUSC,148,0.5170634920634921,LSPIN,0.2,0.0007,0.15,110125
MESO,25,0.7231833910034602,LSPIN,0.2,0.0007,0.15,110125
OV,112,0.5619432071269488,LSPIN,0.2,0.0007,0.15,110125
PAAD,53,0.7313054499366286,LSPIN,0.2,0.0007,0.15,110125
PCPG,53,0.9333333333333332,LSPIN,0.2,0.0007,0.15,110125
PRAD,149,0.2053571428571428,LSPIN,0.2,0.0007,0.15,110125
READ,47,0.6291079812206573,LSPIN,0.2,0.0007,0.15,110125
SARC,77,0.5879712746858169,LSPIN,0.2,0.0007,0.15,110125
SKCM,29,0.6774193548387096,LSPIN,0.2,0.0007,0.15,110125
STAD,105,0.5197947214076246,LSPIN,0.2,0.0007,0.15,110125
TGCT,40,0.1666666666666666,LSPIN,0.2,0.0007,0.15,110125
THCA,150,0.753125,LSPIN,0.2,0.0007,0.15,110125
THYM,35,0.86,LSPIN,0.2,0.0007,0.15,110125
UCEC,162,0.6987994350282486,LSPIN,0.2,0.0007,0.15,110125
UCS,16,0.6049382716049383,LSPIN,0.2,0.0007,0.15,110125
UVM,24,0.7454545454545455,LSPIN,0.2,0.0007,0.15,110125
ACC,24,0.7894736842105263,LSPIN,0.2,0.0006,0.15,150123
BLCA,121,0.6336584146036509,LSPIN,0.2,0.0006,0.15,150123
BRCA,321,0.6924662668665668,LSPIN,0.2,0.0006,0.15,150123
CESC,87,0.6757188498402555,LSPIN,0.2,0.0006,0.15,150123
CHOL,11,0.4242424242424242,LSPIN,0.2,0.0006,0.15,150123
COAD,130,0.5418902187371027,LSPIN,0.2,0.0006,0.15,150123
DLBC,14,0.3111111111111111,LSPIN,0.2,0.0006,0.15,150123
ESCA,48,0.5944148936170213,LSPIN,0.2,0.0006,0.15,150123
GBM,46,0.5871212121212122,LSPIN,0.2,0.0006,0.15,150123
