model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft
Concrete,0.12,0.0014,0.1,0.7436177043607818,0.0011504051058267,121.9340591430664,12.77870364261702,0.932107056386719,0.0103484480351778,284.3333333333333,242.0,3,121.93024444580078,12.784343984239008
Concrete,0.12,0.0014,0.15,0.7479211666032556,0.0055811566708579,116.8377176920573,22.13153627242708,0.9308966347135362,0.0093637455432644,269.0,238.66666666666663,3,116.83896891276042,22.130898866708804
Concrete,0.12,0.0017,0.0,0.7376922677483492,0.0077408963756731,98.36349995930988,4.331126016646688,0.9193208045496698,0.0180994586912394,254.0,206.0,3,98.36276245117188,4.338425943612584
Concrete,0.12,0.0017,0.05,0.7381440089554355,0.0040073263000983,92.82263437906902,11.747468895337471,0.9006702690785665,0.0186395391952559,188.66666666666663,162.66666666666666,3,92.8233413696289,11.750902202485932
Concrete,0.12,0.0017,0.1,0.7351638151673203,0.0016386424255882,99.03659566243488,9.513062056010993,0.9295151037472544,0.0059466768038746,288.6666666666667,240.33333333333331,3,99.04739888509114,9.513855707660548
Concrete,0.12,0.0017,0.15,0.7382034255938917,0.0078680519920498,103.11621602376302,11.330190378552478,0.9147063757218638,0.0209219023800386,240.66666666666663,207.33333333333331,3,103.1196772257487,11.333406085726711
Concrete,0.12,0.002,0.0,0.7418685334475731,0.0039582338907222,90.80158996582033,10.839077507118423,0.91000740371846,0.0081504227826629,210.33333333333331,177.33333333333334,3,90.80566660563152,10.83675612859271
Concrete,0.12,0.002,0.05,0.7402053668702809,0.0040847125666986,87.87712097167969,5.821859410438876,0.9036680023209582,0.0400459523048004,193.66666666666663,164.0,3,87.87232208251953,5.819006321476135
Concrete,0.12,0.002,0.1,0.7360686706550709,0.0087689065842885,77.3914426167806,20.59535730792179,0.890351439531269,0.0115694434499452,146.33333333333334,128.0,3,77.39167022705078,20.592538312803583
Concrete,0.12,0.002,0.15,0.7391359922029391,0.0045366511264821,72.46381378173828,8.24160796445532,0.8998651525341078,0.0192242056248485,179.0,151.0,3,72.46240488688152,8.246972284704654
Concrete,0.15,0.001,0.0,0.7403989702447467,0.0034071703538619,199.8193613688151,10.894286974193111,0.9528754225581584,0.0103728235475434,492.0833333333333,395.1666666666667,12,199.8241818745931,10.898287425757909
Concrete,0.15,0.001,0.05,0.7388698655785934,0.0100522721921897,190.2116190592448,5.875219073388422,0.953770291605053,0.0024318071954224,497.3333333333333,379.6666666666667,3,190.22235107421875,5.85961562582486
Concrete,0.15,0.001,0.1,0.7462080700776811,0.0029148532997391,196.59019978841147,12.047589500220466,0.9417715871620644,0.0065478523273897,397.0,346.3333333333333,3,196.58124287923175,12.052328725420116
Concrete,0.15,0.001,0.15,0.7424455988248487,0.0035056298224351,175.16777547200522,11.548990902356888,0.9446094607051791,0.0175167627482642,453.6666666666667,371.0,3,175.1753387451172,11.548828121774314
Concrete,0.15,0.0012,0.0,0.7462175567678547,0.0032104525388413,181.0643056233724,8.02075283542295,0.955692801627598,0.0082118371225279,477.3333333333333,384.6666666666667,3,181.057367960612,8.024329174160917
Concrete,0.15,0.0012,0.05,0.7426925024191059,0.0080652071919538,150.722900390625,8.679493263309652,0.9492749603648116,0.0065933022862759,358.0,290.3333333333333,3,150.72920735677084,8.683194472851163
Concrete,0.15,0.0012,0.1,0.739719423648621,0.0042970652424079,152.20074971516928,21.113545424962435,0.9404842431165952,0.0154241415076668,384.3333333333333,318.0,3,152.20166015625,21.10537289156936
Concrete,0.15,0.0012,0.15,0.7390227760452085,0.0069314853400273,146.86087036132812,13.263830979556367,0.9402690817745551,0.0080431422646611,393.0,318.3333333333333,3,146.86328125,13.266792569182437
Concrete,0.15,0.0014,0.0,0.7459645367549328,0.0027116509109587,139.75692749023438,3.982651371029524,0.9400178393827004,0.0117689252595619,336.0,272.0,3,139.75784810384116,3.9786768023605497
Concrete,0.15,0.0014,0.05,0.7376820321089511,0.0054496502260208,117.34256744384766,17.272900879844517,0.9329251625389402,0.0056317651605353,271.6666666666667,219.0,3,117.34136962890624,17.273750567410566
Concrete,0.15,0.0014,0.1,0.7395167080585937,0.0018245264455708,134.48766581217447,10.652681646118868,0.9363272652305038,0.0117405785809447,365.3333333333333,296.3333333333333,3,134.4962412516276,10.659035883553964
Concrete,0.15,0.0014,0.15,0.7400334830233183,0.0062687775003267,130.7745819091797,13.301875331397133,0.9422609353108916,0.0173419907046329,469.0,367.0,3,130.7855987548828,13.309297917273147
Concrete,0.15,0.0017,0.0,0.739713057580215,0.004682532617915,89.32129160563152,9.346178630978036,0.8953013377598117,0.036732735252935,243.66666666666663,188.33333333333331,3,89.31966908772786,9.34071053398725
Concrete,0.15,0.0017,0.05,0.7411450484969588,0.0081252738192587,89.19642130533855,13.119635507876657,0.906432789258404,0.0404361765286929,251.33333333333331,191.33333333333331,3,89.20116424560547,13.125362153896278
Concrete,0.15,0.0017,0.1,0.7299380219551969,0.0033586942213663,100.656494140625,9.937605219400552,0.9163991420644928,0.0093065532534919,212.33333333333331,182.33333333333331,3,100.65445709228516,9.9303530555958
