gene,probe_id
ENSG00000106819,ENSG00000106819.10
ENSG00000064655,ENSG00000064655.17
ENSG00000164265,ENSG00000164265.7
ENSG00000140279,ENSG00000140279.11
ENSG00000168743,ENSG00000168743.11
ENSG00000139194,ENSG00000139194.6
ENSG00000087245,ENSG00000087245.11
ENSG00000170476,ENSG00000170476.14
ENSG00000156298,ENSG00000156298.11
ENSG00000188505,ENSG00000188505.4
ENSG00000152377,ENSG00000152377.11
ENSG00000139540,ENSG00000139540.10
ENSG00000240583,ENSG00000240583.9
ENSG00000150625,ENSG00000150625.15
ENSG00000211642,ENSG00000211642.2
ENSG00000198758,ENSG00000198758.9
ENSG00000172551,ENSG00000172551.9
ENSG00000263961,ENSG00000263961.5
ENSG00000157399,ENSG00000157399.13
ENSG00000121858,ENSG00000121858.9
ENSG00000166922,ENSG00000166922.7
ENSG00000130303,ENSG00000130303.11
ENSG00000182195,ENSG00000182195.7
ENSG00000124429,ENSG00000124429.16
ENSG00000159212,ENSG00000159212.11
ENSG00000137801,ENSG00000137801.10
ENSG00000168913,ENSG00000168913.6
ENSG00000151655,ENSG00000151655.16
ENSG00000198502,ENSG00000198502.5
ENSG00000106236,ENSG00000106236.3
ENSG00000127831,ENSG00000127831.9
ENSG00000104783,ENSG00000104783.10
ENSG00000145692,ENSG00000145692.13
ENSG00000164736,ENSG00000164736.5
ENSG00000233639,ENSG00000233639.4
ENSG00000188959,ENSG00000188959.9
ENSG00000172016,ENSG00000172016.14
ENSG00000125968,ENSG00000125968.8
ENSG00000087494,ENSG00000087494.14
ENSG00000170689,ENSG00000170689.9
ENSG00000170801,ENSG00000170801.8
ENSG00000277586,ENSG00000277586.1
ENSG00000137745,ENSG00000137745.10
ENSG00000181649,ENSG00000181649.5
ENSG00000142173,ENSG00000142173.13
ENSG00000110492,ENSG00000110492.14
ENSG00000008517,ENSG00000008517.15
ENSG00000106624,ENSG00000106624.7
ENSG00000184905,ENSG00000184905.7
ENSG00000120708,ENSG00000120708.15
ENSG00000125931,ENSG00000125931.9
ENSG00000117122,ENSG00000117122.12
ENSG00000171124,ENSG00000171124.11
ENSG00000159674,ENSG00000159674.10
ENSG00000170345,ENSG00000170345.8
ENSG00000107742,ENSG00000107742.11
ENSG00000174827,ENSG00000174827.12
ENSG00000143416,ENSG00000143416.19
ENSG00000132386,ENSG00000132386.9
ENSG00000148344,ENSG00000148344.10
ENSG00000210140,ENSG00000210140.1
ENSG00000172020,ENSG00000172020.11
ENSG00000196154,ENSG00000196154.10
ENSG00000142973,ENSG00000142973.11
ENSG00000060718,ENSG00000060718.17
ENSG00000275395,ENSG00000275395.3
ENSG00000185885,ENSG00000185885.14
ENSG00000163501,ENSG00000163501.6
ENSG00000168484,ENSG00000168484.11
ENSG00000122176,ENSG00000122176.10
ENSG00000132693,ENSG00000132693.11
ENSG00000179593,ENSG00000179593.14
ENSG00000143196,ENSG00000143196.4
ENSG00000144485,ENSG00000144485.9
ENSG00000110169,ENSG00000110169.9
ENSG00000166592,ENSG00000166592.10
ENSG00000169116,ENSG00000169116.10
ENSG00000198744,ENSG00000198744.5
ENSG00000147889,ENSG00000147889.15
ENSG00000117983,ENSG00000117983.16
ENSG00000262902,ENSG00000262902.1
ENSG00000005001,ENSG00000005001.8
ENSG00000133134,ENSG00000133134.10
ENSG00000005513,ENSG00000005513.9
ENSG00000162482,ENSG00000162482.4
ENSG00000224259,ENSG00000224259.4
ENSG00000175832,ENSG00000175832.11
ENSG00000214049,ENSG00000214049.6
ENSG00000105696,ENSG00000105696.7
ENSG00000223350,ENSG00000223350.2
ENSG00000243566,ENSG00000243566.5
ENSG00000007062,ENSG00000007062.10
ENSG00000226738,ENSG00000226738.1
ENSG00000068078,ENSG00000068078.16
ENSG00000101825,ENSG00000101825.7
ENSG00000103485,ENSG00000103485.16
ENSG00000205403,ENSG00000205403.11
ENSG00000167880,ENSG00000167880.6
ENSG00000015413,ENSG00000015413.8
ENSG00000160181,ENSG00000160181.7
ENSG00000113657,ENSG00000113657.11
ENSG00000079215,ENSG00000079215.12
ENSG00000276924,ENSG00000276924.1
ENSG00000225698,ENSG00000225698.3
ENSG00000083307,ENSG00000083307.9
ENSG00000198914,ENSG00000198914.2
ENSG00000271503,ENSG00000271503.4
ENSG00000091831,ENSG00000091831.20
ENSG00000182326,ENSG00000182326.13
ENSG00000181019,ENSG00000181019.11
ENSG00000122711,ENSG00000122711.7
ENSG00000226958,ENSG00000226958.1
ENSG00000160867,ENSG00000160867.13
ENSG00000211937,ENSG00000211937.3
ENSG00000177508,ENSG00000177508.11
ENSG00000211639,ENSG00000211639.2
ENSG00000123689,ENSG00000123689.5
ENSG00000100427,ENSG00000100427.14
ENSG00000088882,ENSG00000088882.7
ENSG00000149591,ENSG00000149591.15
ENSG00000125798,ENSG00000125798.13
ENSG00000244067,ENSG00000244067.2
ENSG00000162493,ENSG00000162493.15
ENSG00000008394,ENSG00000008394.11
ENSG00000038427,ENSG00000038427.14
ENSG00000241781,ENSG00000241781.2
ENSG00000135472,ENSG00000135472.7
ENSG00000196616,ENSG00000196616.11
ENSG00000126709,ENSG00000126709.13
ENSG00000114631,ENSG00000114631.10
ENSG00000169908,ENSG00000169908.9
ENSG00000134363,ENSG00000134363.10
ENSG00000226532,ENSG00000226532.1
ENSG00000162551,ENSG00000162551.12
ENSG00000099194,ENSG00000099194.5
ENSG00000180210,ENSG00000180210.13
ENSG00000100285,ENSG00000100285.9
ENSG00000113889,ENSG00000113889.10
ENSG00000115380,ENSG00000115380.17
ENSG00000136160,ENSG00000136160.13
ENSG00000237949,ENSG00000237949.1
ENSG00000129194,ENSG00000129194.6
