model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.008,0.0,2,4,0.1688337580911925,0.18949283898547037
LSPIN,lspin_tf,0.008,0.0,2,5,0.223470172239617,0.24436629811546295
LSPIN,lspin_tf,0.008,0.0,2,6,0.23258869860718612,0.22362193916042583
LSPIN,lspin_tf,0.008,0.0,2,7,0.24992847397519635,0.2561829507925682
LSPIN,lspin_tf,0.008,0.0,2,8,0.2608400059612532,0.24870186257886367
LSPIN,lspin_tf,0.008,0.0,2,9,0.17370010186751425,0.20407615059958564
LSPIN,lspin_tf,0.008,0.0,3,4,0.17606199268096764,0.20812653721190505
LSPIN,lspin_tf,0.008,0.0,3,5,0.18572875763119806,0.2327866495343248
LSPIN,lspin_tf,0.008,0.0,3,6,0.23159212781901833,0.26325232574835
LSPIN,lspin_tf,0.008,0.0,3,7,0.1426116860186318,0.1960050508678581
LSPIN,lspin_tf,0.008,0.0,3,8,0.27172857683538976,0.29510129393418427
LSPIN,lspin_tf,0.008,0.0,3,9,0.25388928365513314,0.2519761261558171
LSPIN,lspin_tf,0.008,0.0,4,5,0.5568335496606883,0.4946700772786024
LSPIN,lspin_tf,0.008,0.0,4,6,0.40240184413458613,0.37927223870296617
LSPIN,lspin_tf,0.008,0.0,4,7,0.35605997713704574,0.323997477034853
LSPIN,lspin_tf,0.008,0.0,4,8,0.36697936574243145,0.37932139478734556
LSPIN,lspin_tf,0.008,0.0,4,9,0.23237149489263048,0.2659594816208078
LSPIN,lspin_tf,0.008,0.0,5,6,0.2991246170250911,0.31607202565993925
LSPIN,lspin_tf,0.008,0.0,5,7,0.3867467136262416,0.34362979929953597
LSPIN,lspin_tf,0.008,0.0,5,8,0.29195666872407416,0.29307416998039476
LSPIN,lspin_tf,0.008,0.0,5,9,0.18185091152269794,0.20429158488030602
LSPIN,lspin_tf,0.008,0.0,6,7,0.1631365486441061,0.13379491121601417
LSPIN,lspin_tf,0.008,0.0,6,8,0.5187022205000453,0.46309877267479416
LSPIN,lspin_tf,0.008,0.0,6,9,0.20873778140007582,0.2207310977746195
LSPIN,lspin_tf,0.008,0.0,7,8,0.15231553255247124,0.13286327968997672
LSPIN,lspin_tf,0.008,0.0,7,9,0.22144805058665704,0.2435175852996005
LSPIN,lspin_tf,0.008,0.0,8,9,0.23080233438153663,0.2804814069943407
LSPIN,lspin_tf,0.0065,0.0,0,1,0.4084162940419769,0.3414677521349544
LSPIN,lspin_tf,0.0065,0.0,0,2,0.21727497423947775,0.23318195883645157
LSPIN,lspin_tf,0.0065,0.0,0,3,0.39321041238230536,0.3167715374756753
LSPIN,lspin_tf,0.0065,0.0,0,4,0.35833903359149855,0.3426998760939185
LSPIN,lspin_tf,0.0065,0.0,0,5,0.19435524364871243,0.2337381856353414
LSPIN,lspin_tf,0.0065,0.0,0,6,0.22296668807863013,0.26883328471886647
LSPIN,lspin_tf,0.0065,0.0,0,7,0.26159740640801266,0.26535776914272635
LSPIN,lspin_tf,0.0065,0.0,0,8,0.5789805610310071,0.5351672564157295
LSPIN,lspin_tf,0.0065,0.0,0,9,0.2676468303834151,0.3094424599904903
LSPIN,lspin_tf,0.0065,0.0,1,2,0.2515972388797721,0.3292559004596307
LSPIN,lspin_tf,0.0065,0.0,1,3,0.6082587996662912,0.5226499113540582
LSPIN,lspin_tf,0.0065,0.0,1,4,0.4478806231503978,0.42470947330441255
LSPIN,lspin_tf,0.0065,0.0,1,5,0.30161107917951957,0.3702673754617847
LSPIN,lspin_tf,0.0065,0.0,1,6,0.22301668473140696,0.2801449727187843
LSPIN,lspin_tf,0.0065,0.0,1,7,0.45531381679664057,0.445209785369796
LSPIN,lspin_tf,0.0065,0.0,1,8,0.32469327096901496,0.3148668730172188
LSPIN,lspin_tf,0.0065,0.0,1,9,0.2163004444900953,0.28288422929447227
LSPIN,lspin_tf,0.0065,0.0,2,3,0.27733431782452517,0.31869440033517354
LSPIN,lspin_tf,0.0065,0.0,2,4,0.37995909135474726,0.4237871982380236
LSPIN,lspin_tf,0.0065,0.0,2,5,0.31681618954912727,0.3569681150239999
LSPIN,lspin_tf,0.0065,0.0,2,6,0.4375702345978506,0.438605204868835
LSPIN,lspin_tf,0.0065,0.0,2,7,0.27932321181255254,0.313600580466559
LSPIN,lspin_tf,0.0065,0.0,2,8,0.20196178415570748,0.2325751300141389
LSPIN,lspin_tf,0.0065,0.0,2,9,0.4267245518984439,0.45902883809600575
LSPIN,lspin_tf,0.0065,0.0,3,4,0.38257998049189135,0.35042326621287073
LSPIN,lspin_tf,0.0065,0.0,3,5,0.24704571729566194,0.2915505906277264
LSPIN,lspin_tf,0.0065,0.0,3,6,0.20186483702410765,0.2346285255340098
LSPIN,lspin_tf,0.0065,0.0,3,7,0.3843924554083725,0.37546677692308345
LSPIN,lspin_tf,0.0065,0.0,3,8,0.3139686153451626,0.2937341084421159
LSPIN,lspin_tf,0.0065,0.0,3,9,0.18580578905455203,0.21191792446386226
