histology,n_test,cindex,model_family,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.5960720130932897,LSPIN,0.005,0.0,70124
infiltratinglobularcarcinoma,60,0.6084656084656085,LSPIN,0.005,0.0,70124
other,23,0.4864864864864865,LSPIN,0.005,0.0,70124
infiltratingductalcarcinoma,220,0.6153846153846154,LSPIN,0.005,0.0,70125
infiltratinglobularcarcinoma,60,0.43386243386243384,LSPIN,0.005,0.0,70125
other,23,0.7297297297297297,LSPIN,0.005,0.0,70125
infiltratingductalcarcinoma,220,0.5675941080196399,LSPIN,0.005,0.0,70126
infiltratinglobularcarcinoma,60,0.5396825396825397,LSPIN,0.005,0.0,70126
other,23,0.6756756756756757,LSPIN,0.005,0.0,70126
infiltratingductalcarcinoma,220,0.6402618657937806,LSPIN,0.005,0.0,70127
infiltratinglobularcarcinoma,60,0.5925925925925926,LSPIN,0.005,0.0,70127
other,23,0.5135135135135135,LSPIN,0.005,0.0,70127
infiltratingductalcarcinoma,220,0.6484451718494272,LSPIN,0.005,0.0,70128
infiltratinglobularcarcinoma,60,0.6243386243386243,LSPIN,0.005,0.0,70128
other,23,0.7027027027027027,LSPIN,0.005,0.0,70128
infiltratingductalcarcinoma,220,0.5692307692307692,LSPIN,0.005,0.0,70129
infiltratinglobularcarcinoma,60,0.3915343915343915,LSPIN,0.005,0.0,70129
other,23,0.4594594594594595,LSPIN,0.005,0.0,70129
infiltratingductalcarcinoma,220,0.5567921440261866,LSPIN,0.005,0.0,70130
infiltratinglobularcarcinoma,60,0.4973544973544973,LSPIN,0.005,0.0,70130
other,23,0.5405405405405406,LSPIN,0.005,0.0,70130
infiltratingductalcarcinoma,220,0.658265139116203,LSPIN,0.005,0.0,70131
infiltratinglobularcarcinoma,60,0.5211640211640212,LSPIN,0.005,0.0,70131
other,23,0.47297297297297297,LSPIN,0.005,0.0,70131
infiltratingductalcarcinoma,220,0.5970540098199673,LSPIN,0.005,0.0,70132
infiltratinglobularcarcinoma,60,0.49206349206349204,LSPIN,0.005,0.0,70132
other,23,0.40540540540540543,LSPIN,0.005,0.0,70132
infiltratingductalcarcinoma,220,0.5757774140752864,LSPIN,0.004,0.0,80123
infiltratinglobularcarcinoma,60,0.4656084656084656,LSPIN,0.004,0.0,80123
other,23,0.35135135135135137,LSPIN,0.004,0.0,80123
infiltratingductalcarcinoma,220,0.6091653027823241,LSPIN,0.004,0.0,80124
infiltratinglobularcarcinoma,60,0.582010582010582,LSPIN,0.004,0.0,80124
other,23,0.6486486486486487,LSPIN,0.004,0.0,80124
infiltratingductalcarcinoma,220,0.6166939443535189,LSPIN,0.004,0.0,80125
infiltratinglobularcarcinoma,60,0.6455026455026455,LSPIN,0.004,0.0,80125
other,23,0.7027027027027027,LSPIN,0.004,0.0,80125
infiltratingductalcarcinoma,220,0.6297872340425532,LSPIN,0.004,0.0,80126
infiltratinglobularcarcinoma,60,0.48148148148148145,LSPIN,0.004,0.0,80126
other,23,0.5675675675675675,LSPIN,0.004,0.0,80126
infiltratingductalcarcinoma,220,0.47921440261865794,LSPIN,0.004,0.0,80127
infiltratinglobularcarcinoma,60,0.5079365079365079,LSPIN,0.004,0.0,80127
other,23,0.5405405405405406,LSPIN,0.004,0.0,80127
infiltratingductalcarcinoma,220,0.6058919803600654,LSPIN,0.004,0.0,80128
infiltratinglobularcarcinoma,60,0.4021164021164021,LSPIN,0.004,0.0,80128
other,23,0.4864864864864865,LSPIN,0.004,0.0,80128
infiltratingductalcarcinoma,220,0.6644844517184942,LSPIN,0.004,0.0,80129
infiltratinglobularcarcinoma,60,0.4497354497354497,LSPIN,0.004,0.0,80129
other,23,0.5405405405405406,LSPIN,0.004,0.0,80129
infiltratingductalcarcinoma,220,0.6939443535188216,LSPIN,0.004,0.0,80130
infiltratinglobularcarcinoma,60,0.5767195767195767,LSPIN,0.004,0.0,80130
other,23,0.5135135135135135,LSPIN,0.004,0.0,80130
infiltratingductalcarcinoma,220,0.527986906710311,LSPIN,0.004,0.0,80131
infiltratinglobularcarcinoma,60,0.35185185185185186,LSPIN,0.004,0.0,80131
other,23,0.527027027027027,LSPIN,0.004,0.0,80131
infiltratingductalcarcinoma,220,0.5430441898527005,LSPIN,0.004,0.0,80132
infiltratinglobularcarcinoma,60,0.48677248677248675,LSPIN,0.004,0.0,80132
other,23,0.35135135135135137,LSPIN,0.004,0.0,80132
infiltratingductalcarcinoma,220,0.6196399345335516,LSPIN,0.0033,0.0,90123
infiltratinglobularcarcinoma,60,0.5925925925925926,LSPIN,0.0033,0.0,90123
other,23,0.6216216216216216,LSPIN,0.0033,0.0,90123
infiltratingductalcarcinoma,220,0.7080196399345335,LSPIN,0.0033,0.0,90124
infiltratinglobularcarcinoma,60,0.5238095238095238,LSPIN,0.0033,0.0,90124
other,23,0.5675675675675675,LSPIN,0.0033,0.0,90124
infiltratingductalcarcinoma,220,0.7011456628477906,LSPIN,0.0033,0.0,90125
infiltratinglobularcarcinoma,60,0.4074074074074074,LSPIN,0.0033,0.0,90125
other,23,0.5945945945945946,LSPIN,0.0033,0.0,90125
infiltratingductalcarcinoma,220,0.6680851063829787,LSPIN,0.0033,0.0,90126
infiltratinglobularcarcinoma,60,0.544973544973545,LSPIN,0.0033,0.0,90126
other,23,0.5135135135135135,LSPIN,0.0033,0.0,90126
infiltratingductalcarcinoma,220,0.6533551554828151,LSPIN,0.0033,0.0,90127
infiltratinglobularcarcinoma,60,0.6931216931216931,LSPIN,0.0033,0.0,90127
other,23,0.5405405405405406,LSPIN,0.0033,0.0,90127
infiltratingductalcarcinoma,220,0.6016366612111292,LSPIN,0.0033,0.0,90128
infiltratinglobularcarcinoma,60,0.5608465608465608,LSPIN,0.0033,0.0,90128
other,23,0.7297297297297297,LSPIN,0.0033,0.0,90128
infiltratingductalcarcinoma,220,0.6972176759410802,LSPIN,0.0033,0.0,90129
infiltratinglobularcarcinoma,60,0.3968253968253968,LSPIN,0.0033,0.0,90129
other,23,0.5945945945945946,LSPIN,0.0033,0.0,90129
infiltratingductalcarcinoma,220,0.6664484451718494,LSPIN,0.0033,0.0,90130
infiltratinglobularcarcinoma,60,0.8253968253968254,LSPIN,0.0033,0.0,90130
other,23,0.5405405405405406,LSPIN,0.0033,0.0,90130
infiltratingductalcarcinoma,220,0.5893617021276596,LSPIN,0.0033,0.0,90131
infiltratinglobularcarcinoma,60,0.5079365079365079,LSPIN,0.0033,0.0,90131
other,23,0.36486486486486486,LSPIN,0.0033,0.0,90131
infiltratingductalcarcinoma,220,0.5610474631751228,LSPIN,0.0033,0.0,90132
infiltratinglobularcarcinoma,60,0.4021164021164021,LSPIN,0.0033,0.0,90132
other,23,0.5945945945945946,LSPIN,0.0033,0.0,90132
infiltratingductalcarcinoma,220,0.6209492635024549,LSPIN,0.0027,0.0,100123
infiltratinglobularcarcinoma,60,0.5714285714285714,LSPIN,0.0027,0.0,100123
other,23,0.4864864864864865,LSPIN,0.0027,0.0,100123
infiltratingductalcarcinoma,220,0.6238952536824878,LSPIN,0.0027,0.0,100124
infiltratinglobularcarcinoma,60,0.4973544973544973,LSPIN,0.0027,0.0,100124
other,23,0.5945945945945946,LSPIN,0.0027,0.0,100124
infiltratingductalcarcinoma,220,0.6062193126022913,LSPIN,0.0027,0.0,100125
infiltratinglobularcarcinoma,60,0.5343915343915344,LSPIN,0.0027,0.0,100125
other,23,0.40540540540540543,LSPIN,0.0027,0.0,100125
