model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.008,0.0,4,7,0.5453379889291666
LSPIN,lspin_tf,0.008,0.0,4,8,0.7647787711981868
LSPIN,lspin_tf,0.008,0.0,4,9,0.6704336719912077
LSPIN,lspin_tf,0.008,0.0,5,6,0.6603698795263953
LSPIN,lspin_tf,0.008,0.0,5,7,0.6133019789791724
LSPIN,lspin_tf,0.008,0.0,5,8,0.7263599236850738
LSPIN,lspin_tf,0.008,0.0,5,9,0.731905158909998
LSPIN,lspin_tf,0.008,0.0,6,7,0.637785312497152
LSPIN,lspin_tf,0.008,0.0,6,8,0.6946042355971112
LSPIN,lspin_tf,0.008,0.0,6,9,0.6786478646990218
LSPIN,lspin_tf,0.008,0.0,7,8,0.5749282977872365
LSPIN,lspin_tf,0.008,0.0,7,9,0.6866403634740562
LSPIN,lspin_tf,0.008,0.0,8,9,0.7469890980097587
LSPIN,lspin_tf,0.0065,0.0,0,1,0.769344744557977
LSPIN,lspin_tf,0.0065,0.0,0,2,0.6564043700400422
LSPIN,lspin_tf,0.0065,0.0,0,3,0.6768311339059493
LSPIN,lspin_tf,0.0065,0.0,0,4,0.6431651303116201
LSPIN,lspin_tf,0.0065,0.0,0,5,0.5918196071908108
LSPIN,lspin_tf,0.0065,0.0,0,6,0.6522777132926967
LSPIN,lspin_tf,0.0065,0.0,0,7,0.750243415764591
LSPIN,lspin_tf,0.0065,0.0,0,8,0.7120338119117169
LSPIN,lspin_tf,0.0065,0.0,0,9,0.7656790725067157
LSPIN,lspin_tf,0.0065,0.0,1,2,0.6926795476334969
LSPIN,lspin_tf,0.0065,0.0,1,3,0.7306999803236297
LSPIN,lspin_tf,0.0065,0.0,1,4,0.6809032963708492
LSPIN,lspin_tf,0.0065,0.0,1,5,0.7091215739278313
LSPIN,lspin_tf,0.0065,0.0,1,6,0.6275706982666707
LSPIN,lspin_tf,0.0065,0.0,1,7,0.7723240132117922
LSPIN,lspin_tf,0.0065,0.0,1,8,0.6747149824321018
LSPIN,lspin_tf,0.0065,0.0,1,9,0.7665887609448967
LSPIN,lspin_tf,0.0065,0.0,2,3,0.5733674020541796
LSPIN,lspin_tf,0.0065,0.0,2,4,0.6963885714652763
LSPIN,lspin_tf,0.0065,0.0,2,5,0.6630690093644303
LSPIN,lspin_tf,0.0065,0.0,2,6,0.7331533065342885
LSPIN,lspin_tf,0.0065,0.0,2,7,0.6174252472402475
LSPIN,lspin_tf,0.0065,0.0,2,8,0.6186458508874967
LSPIN,lspin_tf,0.0065,0.0,2,9,0.7969039815891966
LSPIN,lspin_tf,0.0065,0.0,3,4,0.6110306570450932
LSPIN,lspin_tf,0.0065,0.0,3,5,0.6089677828783215
LSPIN,lspin_tf,0.0065,0.0,3,6,0.5776446125850393
LSPIN,lspin_tf,0.0065,0.0,3,7,0.7677506327210466
LSPIN,lspin_tf,0.0065,0.0,3,8,0.6179398047882553
LSPIN,lspin_tf,0.0065,0.0,3,9,0.7122472836205496
LSPIN,lspin_tf,0.0065,0.0,4,5,0.7840625580113153
LSPIN,lspin_tf,0.0065,0.0,4,6,0.7646741041533837
LSPIN,lspin_tf,0.0065,0.0,4,7,0.6847523989818699
LSPIN,lspin_tf,0.0065,0.0,4,8,0.6741746796153606
LSPIN,lspin_tf,0.0065,0.0,4,9,0.7951109616417211
LSPIN,lspin_tf,0.0065,0.0,5,6,0.7710938082483475
LSPIN,lspin_tf,0.0065,0.0,5,7,0.7344849602649218
LSPIN,lspin_tf,0.0065,0.0,5,8,0.48051767654083494
LSPIN,lspin_tf,0.0065,0.0,5,9,0.7583499603183141
LSPIN,lspin_tf,0.0065,0.0,6,7,0.6797954734656935
LSPIN,lspin_tf,0.0065,0.0,6,8,0.540053822000599
LSPIN,lspin_tf,0.0065,0.0,6,9,0.8203813130134514
LSPIN,lspin_tf,0.0065,0.0,7,8,0.5950509935330345
LSPIN,lspin_tf,0.0065,0.0,7,9,0.8044983740437396
LSPIN,lspin_tf,0.0065,0.0,8,9,0.7379552222207715
LSPIN,lspin_tf,0.005,0.0,0,1,0.6881041110241407
LSPIN,lspin_tf,0.005,0.0,0,2,0.742789464747123
LSPIN,lspin_tf,0.005,0.0,0,3,0.7529748426331231
LSPIN,lspin_tf,0.005,0.0,0,4,0.7485547344574595
LSPIN,lspin_tf,0.005,0.0,0,5,0.6783668222808598
LSPIN,lspin_tf,0.005,0.0,0,6,0.6905716815261979
LSPIN,lspin_tf,0.005,0.0,0,7,0.7493169025137313
LSPIN,lspin_tf,0.005,0.0,0,8,0.6003960782877571
LSPIN,lspin_tf,0.005,0.0,0,9,0.7947683589485685
LSPIN,lspin_tf,0.005,0.0,1,2,0.6931725234959789
LSPIN,lspin_tf,0.005,0.0,1,3,0.6642734096445317
LSPIN,lspin_tf,0.005,0.0,1,4,0.6562489048617661
LSPIN,lspin_tf,0.005,0.0,1,5,0.6517306995315079
LSPIN,lspin_tf,0.005,0.0,1,6,0.702849750476555
LSPIN,lspin_tf,0.005,0.0,1,7,0.7498008311900668
LSPIN,lspin_tf,0.005,0.0,1,8,0.5766169026312437
LSPIN,lspin_tf,0.005,0.0,1,9,0.6818469014797934
LSPIN,lspin_tf,0.005,0.0,2,3,0.70590161605856
LSPIN,lspin_tf,0.005,0.0,2,4,0.8000645170979152
LSPIN,lspin_tf,0.005,0.0,2,5,0.5896039660639896
LSPIN,lspin_tf,0.005,0.0,2,6,0.6731014764852103
LSPIN,lspin_tf,0.005,0.0,2,7,0.7600264059638778
LSPIN,lspin_tf,0.005,0.0,2,8,0.6045955479923373
LSPIN,lspin_tf,0.005,0.0,2,9,0.8137200904677121
