model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
Concrete,concrete,0.1,0.004,0.0,440124,1,0.5434889434889435,0.8914473684210527,3,196.08038330078125,0.9536063182130636,917.0,654.0,550.6255465684271
Concrete,concrete,0.1,0.004,0.0,440125,2,0.6226044226044226,0.8601973684210527,7,125.55626678466797,0.9384317999646534,487.0,366.0,298.450993230144
Concrete,concrete,0.1,0.004,0.0,440126,3,0.5323505323505323,0.7927631578947368,2,171.66558837890625,0.9519067802294462,937.0,622.0,547.077225177108
Concrete,concrete,0.1,0.004,0.0,440127,4,0.5280917280917281,0.8404605263157895,2,146.94854736328125,0.9455476085737812,728.0,516.0,445.83264247637044
Concrete,concrete,0.1,0.004,0.0,440128,5,0.628992628992629,0.84375,2,137.04823303222656,0.9434164917238047,651.0,466.0,410.2311888826272
Concrete,concrete,0.1,0.004,0.0,440129,6,0.5180999180999181,0.8799342105263158,4,122.3376235961914,0.9429540510572716,526.0,396.0,333.4550020692955
Concrete,concrete,0.1,0.004,0.0,440130,7,0.5272727272727272,0.774671052631579,1,228.6752471923828,0.9693906070594465,1270.0,862.0,770.2321655570793
Concrete,concrete,0.1,0.004,0.0,440131,8,0.6144144144144145,0.8536184210526315,2,169.1543426513672,0.9484851839528914,889.0,631.0,560.0860294195401
Concrete,concrete,0.1,0.004,0.0,440132,9,0.5914823914823915,0.8717105263157895,2,233.55947875976562,0.9678785560872326,1200.0,840.0,715.3295043425634
Concrete,concrete,0.1,0.0033,0.0,450123,0,0.5726453726453726,0.8569078947368421,2,276.6334533691406,0.9764225609845766,1278.0,986.0,796.3176851479029
Concrete,concrete,0.1,0.0033,0.0,450124,1,0.5482391482391482,0.7598684210526315,2,200.263671875,0.9687741795671474,1110.0,752.0,658.4603067895407
Concrete,concrete,0.1,0.0033,0.0,450125,2,0.6597870597870598,0.8207236842105263,2,269.7331237792969,0.9672089379428411,1326.0,974.0,826.2716264126452
Concrete,concrete,0.1,0.0033,0.0,450126,3,0.6612612612612613,0.8322368421052632,2,287.9131774902344,0.9748979338040431,1354.0,992.0,820.7670639409944
Concrete,concrete,0.1,0.0033,0.0,450127,4,0.5480753480753481,0.8223684210526315,2,177.35691833496094,0.9545368917335665,862.0,572.0,492.29895015462176
Concrete,concrete,0.1,0.0033,0.0,450128,5,0.5728091728091728,0.7894736842105263,8,235.66238403320312,0.9594167798202011,876.0,644.0,512.3333818106863
