dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,seed_i,seed_j,affinity_corr
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100124,103125,0.8949502536860644
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100125,101123,0.898607217093333
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100125,101124,0.9082081309528383
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100125,101125,0.8811861941797422
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100125,102123,0.8059566993720841
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100125,102124,0.7933891483446328
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100125,102125,0.7512385766658094
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100125,103123,0.8073584156593211
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100125,103124,0.8830107343892231
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100125,103125,0.8638806538845104
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101123,101124,0.9279001358743609
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101123,101125,0.9225121258311758
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101123,102123,0.8819488523083078
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101123,102124,0.8590144856704471
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101123,102125,0.8546580136394053
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101123,103123,0.8974210456878
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101123,103124,0.8968345449232563
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101123,103125,0.9074275201912578
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101124,101125,0.9003145541592201
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101124,102123,0.8295202280882399
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101124,102124,0.8346485162896095
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101124,102125,0.8020868710806528
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101124,103123,0.859471895528825
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101124,103124,0.893302303899747
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101124,103125,0.8696839148145535
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101125,102123,0.910098823539378
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101125,102124,0.9086096262604613
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101125,102125,0.8767033495882297
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101125,103123,0.8694393965007666
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,101125,103124,0.913007786788363
