dataset,experiment,task_stage,variant_key,variant_label,model_family,goal1_group,split_seed,n_reps,split_mean_test_cindex,split_sd_test_cindex,split_mean_Ksoft,split_sd_Ksoft,split_mean_Khard,split_sd_Khard
kipan,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,alt_sigma,127,1,0.727056359482102,,255.52813720703125,,255.50965881347656,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,nosmooth,123,1,0.7341964965727342,,328.5953369140625,,300.355224609375,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,nosmooth,124,1,0.7256283320639756,,306.5055236816406,,280.312744140625,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,nosmooth,125,1,0.7341964965727342,,220.77658081054688,,206.98069763183597,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,nosmooth,126,1,0.7202970297029703,,233.7205047607422,,216.5019378662109,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,nosmooth,127,1,0.7289603960396039,,241.4076385498047,,221.04632568359372,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,nosmooth,123,1,0.7334348819497334,,232.2110595703125,,213.05018615722656,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,nosmooth,124,1,0.7202970297029703,,162.28219604492188,,152.04632568359375,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,nosmooth,125,1,0.7317212490479817,,189.6241607666016,,177.4748992919922,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,nosmooth,126,1,0.7208682406702208,,176.14706420898438,,164.98455810546875,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,nosmooth,127,1,0.7322924600152323,,204.2615203857422,,188.75289916992188,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,nosmooth,123,1,0.7322924600152323,,202.2924041748047,,186.11968994140625,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,nosmooth,124,1,0.716012947448591,,135.49119567871094,,126.18146514892578,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,nosmooth,125,1,0.7346725057121096,,177.04664611816406,,165.45559692382812,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,nosmooth,126,1,0.7118240670220868,,132.6312713623047,,125.93050384521484,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,nosmooth,127,1,0.724009900990099,,156.58895874023438,,145.14671325683594,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p0,Concrete nosmooth x2,Concrete,nosmooth,123,1,0.733054074638233,,168.7049102783203,,157.01158142089844,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p0,Concrete nosmooth x2,Concrete,nosmooth,124,1,0.7232482863670983,,101.7293701171875,,94.66023254394533,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p0,Concrete nosmooth x2,Concrete,nosmooth,125,1,0.7334348819497334,,118.66336822509766,,112.9961395263672,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p0,Concrete nosmooth x2,Concrete,nosmooth,126,1,0.7236290936785986,,140.57920837402344,,131.22779846191406,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p0,Concrete nosmooth x2,Concrete,nosmooth,127,1,0.7341012947448591,,114.24586486816406,,107.71428680419922,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p5,Concrete nosmooth x2.5,Concrete,nosmooth,123,1,0.7404798172124905,,105.16726684570312,,98.46331787109376,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p5,Concrete nosmooth x2.5,Concrete,nosmooth,124,1,0.7182977913175933,,61.05064010620117,,56.47104263305664,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p5,Concrete nosmooth x2.5,Concrete,nosmooth,125,1,0.7225818735719726,,114.30887603759766,,107.38224029541016,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p5,Concrete nosmooth x2.5,Concrete,nosmooth,126,1,0.7167745620715917,,80.83628845214844,,76.84941864013672,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p5,Concrete nosmooth x2.5,Concrete,nosmooth,127,1,0.7223914699162224,,97.76361083984376,,92.6332015991211,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx3p0,Concrete nosmooth x3,Concrete,nosmooth,123,1,0.7381949733434882,,86.11839294433594,,80.3976821899414,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx3p0,Concrete nosmooth x3,Concrete,nosmooth,124,1,0.7353389185072353,,49.49362564086914,,46.01930618286133,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx3p0,Concrete nosmooth x3,Concrete,nosmooth,125,1,0.716012947448591,,87.72372436523438,,83.9189224243164,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx3p0,Concrete nosmooth x3,Concrete,nosmooth,126,1,0.7055407463823306,,65.34886169433594,,62.0926628112793,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx3p0,Concrete nosmooth x3,Concrete,nosmooth,127,1,0.7232482863670983,,88.89080810546875,,83.3436279296875,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,123,1,0.7398134044173648,,278.49566650390625,,278.45947265625,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,124,1,0.7125856816450876,,164.97743225097656,,164.9961395263672,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,125,1,0.723914699162224,,227.69058227539065,,227.6525115966797,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,126,1,0.7001142421934501,,216.5535888671875,,216.53668212890625,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,127,1,0.727056359482102,,255.52813720703125,,255.50965881347656,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p25,LSPIN nosmooth x1.2,LSPIN,nosmooth,123,1,0.7322924600152323,,274.3641357421875,,274.3397827148437,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p25,LSPIN nosmooth x1.2,LSPIN,nosmooth,124,1,0.7004950495049505,,155.4571990966797,,155.48648071289062,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p25,LSPIN nosmooth x1.2,LSPIN,nosmooth,125,1,0.695925361766946,,162.83152770996094,,162.84170532226562,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p25,LSPIN nosmooth x1.2,LSPIN,nosmooth,126,1,0.7035415079969536,,191.38687133789065,,191.32046508789065,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p25,LSPIN nosmooth x1.2,LSPIN,nosmooth,127,1,0.7476199543031227,,219.8134307861328,,219.74903869628903,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p5,LSPIN nosmooth x1.5,LSPIN,nosmooth,123,1,0.7176313785224676,,190.80311584472656,,190.7644805908203,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p5,LSPIN nosmooth x1.5,LSPIN,nosmooth,124,1,0.6942117288651942,,110.43708038330078,,110.45945739746094,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p5,LSPIN nosmooth x1.5,LSPIN,nosmooth,125,1,0.7341964965727342,,165.04464721679688,,165.0270233154297,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p5,LSPIN nosmooth x1.5,LSPIN,nosmooth,126,1,0.708015993907083,,172.9436492919922,,172.895751953125,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p5,LSPIN nosmooth x1.5,LSPIN,nosmooth,127,1,0.7399086062452399,,198.27203369140625,,198.28958129882807,
