dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,lambda_sparse,lambda_base,lambda_multiplier,gate_sigma,goal1_group,n_runs,mean_test_cindex,std_test_cindex,mean_best_val_cindex,mean_best_epoch,std_best_epoch,mean_Ksoft,std_Ksoft,mean_Khard,std_Khard,mean_gene_union_count,std_gene_union_count,mean_effective_gene_count,std_effective_gene_count,ci95_test_cindex,ci95_Ksoft,ci95_Khard,ci95_gene_union_count,ci95_effective_gene_count
brca,goal1,screen,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,global_stg,0.001,0.001,1.0,0.1,nosmooth,5,0.6151351351351352,0.048782530998250626,0.720023129398413,102.8,56.18896688852715,65.0308391571045,35.88207452508553,40.6,30.59901959213726,40.6,30.59901959213726,40.59999999999998,30.599019592137225,0.042759773727218994,31.45202506222745,26.821223238323785,26.821223238323785,26.821223238323753
brca,goal1,screen,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,global_stg,0.00125,0.001,1.25,0.1,nosmooth,5,0.5512858312858313,0.03174293343940723,0.7091602309046834,86.6,55.89096528062474,38.23425025939942,19.832641275257416,20.6,15.469324484281788,20.6,15.469324484281788,20.6,15.46932448428179,0.027823907934500177,17.384076553418726,13.559460756239535,13.559460756239535,13.559460756239535
brca,goal1,screen,goal1_nosmooth_stg_lamx1p5,MLP+STG nosmooth x1.5,MLP+STG,global_stg,0.0015,0.001,1.5,0.1,nosmooth,5,0.5514168714168715,0.046269356858471965,0.7028675617504409,84.6,45.23052066912341,27.58481616973877,15.241881457333596,16.4,13.831124321616086,16.4,13.831124321616086,16.4,13.831124321616088,0.04055687946660985,13.36009815308786,12.123515001846618,12.123515001846618,12.12351500184662
brca,goal1,screen,goal1_nosmooth_stg_lamx2p0,MLP+STG nosmooth x2,MLP+STG,global_stg,0.002,0.001,2.0,0.1,nosmooth,5,0.5406879606879607,0.020118134565616966,0.6845367287470806,87.8,73.80176149659302,13.22913236618042,8.775353249884638,6.4,5.366563145999495,6.4,5.366563145999495,6.3999999999999995,5.366563145999495,0.01763432245592943,7.691936266179774,4.704,4.704,4.704
brca,goal1,screen,goal1_nosmooth_stg_lamx3p0,MLP+STG nosmooth x3,MLP+STG,global_stg,0.003,0.001,3.0,0.1,nosmooth,5,0.5300900900900901,0.04576586542932172,0.7080509329751774,101.2,38.42134823246056,13.26908187866211,9.931755037233224,8.4,7.231873892705818,8.4,7.231873892705818,8.4,7.231873892705819,0.04011554977043582,8.70556712445874,6.339016958488122,6.339016958488122,6.339016958488122
brca,goal1,screen,goal1_rsf,RSF,RSF,,,,,,dense,5,0.6149058149058149,0.016502815696285842,,-1.0,0.0,,,,,,,,,0.0144653557450819,,,,
brca,goal1,screen,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,concrete,0.0022,0.0022,1.0,0.15,smooth,5,0.6377395577395577,0.02994511609246251,0.7278314936575686,9.0,1.224744871391589,483.26544189453125,47.78055744677627,430.34404296875,46.093746050710216,5597.8,1518.530440919773,760.9209424406329,103.03109269301225,0.026248051549332668,41.881505185899606,40.402949806744196,1331.0506183853413,90.31073460660166
brca,goal1,screen,goal1_smooth_concrete_lamx1p25,Concrete smooth x1.2,Concrete,concrete,0.00275,0.0022,1.25,0.15,smooth,5,0.6206060606060606,0.03942796176338292,0.7172659748535428,10.0,2.5495097567963922,359.236962890625,17.678831325939854,320.1826416015625,24.8310942519229,4752.8,1320.002159089143,586.4938248889137,43.845484808055666,0.034560132265137176,15.496178894161266,21.765413763577524,1157.0329068025678,38.43226193860074
brca,goal1,screen,goal1_smooth_concrete_lamx1p5,Concrete smooth x1.5,Concrete,concrete,0.0033,0.0022,1.5,0.15,smooth,5,0.6409172809172808,0.030547610714753266,0.7150564410223422,9.4,1.6733200530681511,296.16802978515625,35.90172792603973,256.4758819580078,29.47015940800982,4551.8,981.7933591138209,518.2766513880679,73.66976755859437,0.02677616137048858,31.46925202771233,25.831733659673446,860.5798228078555,64.57439839386929
brca,goal1,screen,goal1_smooth_concrete_lamx2p0,Concrete smooth x2,Concrete,concrete,0.0044,0.0022,2.0,0.15,smooth,5,0.6176248976248976,0.02987043187830581,0.7131880323166963,11.6,2.6076809620810595,203.52668151855468,20.836022284589678,176.90610961914064,21.580993688184854,4475.6,594.779202729887,423.8077671421981,20.82845408175846,0.026182587949290057,18.26357878594485,18.91657501223989,521.346957731605,18.25694496367359
