histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
kidneychromophobe,19,0.7464788732394366,LSPIN,mlp,0.0105,0.1,290123
kidneyclearcellrenalcarcinoma,156,0.6711120671112067,LSPIN,mlp,0.0105,0.1,290123
kidneypapillaryrenalcellcarcinoma,84,0.8125960061443932,LSPIN,mlp,0.0105,0.1,290123
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0105,0.1,290124
kidneyclearcellrenalcarcinoma,156,0.6898257689825769,LSPIN,mlp,0.0105,0.1,290124
kidneypapillaryrenalcellcarcinoma,84,0.8018433179723502,LSPIN,mlp,0.0105,0.1,290124
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.1,290125
kidneyclearcellrenalcarcinoma,156,0.6584211658421166,LSPIN,mlp,0.0105,0.1,290125
kidneypapillaryrenalcellcarcinoma,84,0.8187403993855606,LSPIN,mlp,0.0105,0.1,290125
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.1,290126
kidneyclearcellrenalcarcinoma,156,0.6721875672187567,LSPIN,mlp,0.0105,0.1,290126
kidneypapillaryrenalcellcarcinoma,84,0.8033794162826421,LSPIN,mlp,0.0105,0.1,290126
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0105,0.1,290127
kidneyclearcellrenalcarcinoma,156,0.6745536674553667,LSPIN,mlp,0.0105,0.1,290127
kidneypapillaryrenalcellcarcinoma,84,0.7926267281105991,LSPIN,mlp,0.0105,0.1,290127
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.0105,0.1,290128
kidneyclearcellrenalcarcinoma,156,0.6498171649817165,LSPIN,mlp,0.0105,0.1,290128
kidneypapillaryrenalcellcarcinoma,84,0.8202764976958525,LSPIN,mlp,0.0105,0.1,290128
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.1,290129
kidneyclearcellrenalcarcinoma,156,0.6878898687889868,LSPIN,mlp,0.0105,0.1,290129
kidneypapillaryrenalcellcarcinoma,84,0.8064516129032258,LSPIN,mlp,0.0105,0.1,290129
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.1,290130
kidneyclearcellrenalcarcinoma,156,0.6779952677995268,LSPIN,mlp,0.0105,0.1,290130
kidneypapillaryrenalcellcarcinoma,84,0.804915514592934,LSPIN,mlp,0.0105,0.1,290130
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.0,330123
kidneyclearcellrenalcarcinoma,156,0.6818670681867068,LSPIN,mlp,0.0035,0.0,330123
kidneypapillaryrenalcellcarcinoma,84,0.8003072196620584,LSPIN,mlp,0.0035,0.0,330123
