model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,mlp,0.00525,0.025,3,4,0.910153044229626,3.448224852071006,0.5294117647058824,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.007,0.025,0,1,0.8970375644301317,3.5440088757396446,0.5522388059701493,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.007,0.025,0,2,0.9189759458264776,3.927144970414201,0.6507936507936508,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.007,0.025,0,3,0.9057225483883794,3.448224852071006,0.5294117647058824,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.007,0.025,0,4,0.9350008132218922,3.927144970414201,0.6507936507936508,4.214497041420118,0.7333333333333333
LSPIN,lspin_tf,mlp,0.007,0.025,1,2,0.909002753601632,3.831360946745562,0.625,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.007,0.025,1,3,0.8967612390773224,3.639792899408284,0.5757575757575758,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.007,0.025,1,4,0.9166151529223376,3.831360946745562,0.625,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.007,0.025,2,3,0.9340583315299726,3.927144970414201,0.6507936507936508,4.118713017751479,0.7049180327868853
LSPIN,lspin_tf,mlp,0.007,0.025,2,4,0.9458610475286084,4.214497041420118,0.7333333333333333,4.02292899408284,0.6774193548387096
LSPIN,lspin_tf,mlp,0.007,0.025,3,4,0.9262248452771225,4.02292899408284,0.6774193548387096,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.00875,0.025,0,1,0.8988709767367852,3.639792899408284,0.5757575757575758,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.00875,0.025,0,2,0.8961722182006466,3.448224852071006,0.5294117647058824,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.00875,0.025,0,3,0.8741348561783375,3.352440828402367,0.5072463768115942,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.00875,0.025,0,4,0.8676830901265988,3.5440088757396446,0.5522388059701493,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.00875,0.025,1,2,0.9352841625286572,4.118713017751479,0.7049180327868853,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.00875,0.025,1,3,0.902867818380423,3.831360946745562,0.625,3.735576923076923,0.6
