histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
kidneypapillaryrenalcellcarcinoma,84,0.8218125960061444,LSPIN,mlp,0.028,0.025,160124
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.028,0.025,160125
kidneyclearcellrenalcarcinoma,156,0.6625080662508066,LSPIN,mlp,0.028,0.025,160125
kidneypapillaryrenalcellcarcinoma,84,0.7680491551459293,LSPIN,mlp,0.028,0.025,160125
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.028,0.025,160126
kidneyclearcellrenalcarcinoma,156,0.7055280705528071,LSPIN,mlp,0.028,0.025,160126
kidneypapillaryrenalcellcarcinoma,84,0.7450076804915514,LSPIN,mlp,0.028,0.025,160126
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.028,0.025,160127
kidneyclearcellrenalcarcinoma,156,0.6052914605291461,LSPIN,mlp,0.028,0.025,160127
kidneypapillaryrenalcellcarcinoma,84,0.8248847926267281,LSPIN,mlp,0.028,0.025,160127
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.0035,0.05,170123
kidneyclearcellrenalcarcinoma,156,0.6911163691116369,LSPIN,mlp,0.0035,0.05,170123
kidneypapillaryrenalcellcarcinoma,84,0.7695852534562212,LSPIN,mlp,0.0035,0.05,170123
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.05,170124
kidneyclearcellrenalcarcinoma,156,0.6812217681221768,LSPIN,mlp,0.0035,0.05,170124
kidneypapillaryrenalcellcarcinoma,84,0.7726574500768049,LSPIN,mlp,0.0035,0.05,170124
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.0035,0.05,170125
kidneyclearcellrenalcarcinoma,156,0.6739083673908367,LSPIN,mlp,0.0035,0.05,170125
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,mlp,0.0035,0.05,170125
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.05,170126
kidneyclearcellrenalcarcinoma,156,0.6764895676489567,LSPIN,mlp,0.0035,0.05,170126
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,mlp,0.0035,0.05,170126
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.05,170127
kidneyclearcellrenalcarcinoma,156,0.6551946655194666,LSPIN,mlp,0.0035,0.05,170127
kidneypapillaryrenalcellcarcinoma,84,0.8095238095238095,LSPIN,mlp,0.0035,0.05,170127
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.00525,0.05,180123
kidneyclearcellrenalcarcinoma,156,0.6736932673693268,LSPIN,mlp,0.00525,0.05,180123
kidneypapillaryrenalcellcarcinoma,84,0.804915514592934,LSPIN,mlp,0.00525,0.05,180123
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.00525,0.05,180124
kidneyclearcellrenalcarcinoma,156,0.6926220692622069,LSPIN,mlp,0.00525,0.05,180124
kidneypapillaryrenalcellcarcinoma,84,0.7741935483870968,LSPIN,mlp,0.00525,0.05,180124
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.00525,0.05,180125
kidneyclearcellrenalcarcinoma,156,0.6812217681221768,LSPIN,mlp,0.00525,0.05,180125
kidneypapillaryrenalcellcarcinoma,84,0.8187403993855606,LSPIN,mlp,0.00525,0.05,180125
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.00525,0.05,180126
kidneyclearcellrenalcarcinoma,156,0.6706818670681867,LSPIN,mlp,0.00525,0.05,180126
kidneypapillaryrenalcellcarcinoma,84,0.8003072196620584,LSPIN,mlp,0.00525,0.05,180126
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.00525,0.05,180127
kidneyclearcellrenalcarcinoma,156,0.696493869649387,LSPIN,mlp,0.00525,0.05,180127
kidneypapillaryrenalcellcarcinoma,84,0.8110599078341014,LSPIN,mlp,0.00525,0.05,180127
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.007,0.05,190123
kidneyclearcellrenalcarcinoma,156,0.6876747687674769,LSPIN,mlp,0.007,0.05,190123
kidneypapillaryrenalcellcarcinoma,84,0.7757296466973886,LSPIN,mlp,0.007,0.05,190123
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.007,0.05,190124
kidneyclearcellrenalcarcinoma,156,0.6876747687674769,LSPIN,mlp,0.007,0.05,190124
kidneypapillaryrenalcellcarcinoma,84,0.8202764976958525,LSPIN,mlp,0.007,0.05,190124
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.007,0.05,190125
kidneyclearcellrenalcarcinoma,156,0.694127769412777,LSPIN,mlp,0.007,0.05,190125
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,mlp,0.007,0.05,190125
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.007,0.05,190126
kidneyclearcellrenalcarcinoma,156,0.698644869864487,LSPIN,mlp,0.007,0.05,190126
kidneypapillaryrenalcellcarcinoma,84,0.8433179723502304,LSPIN,mlp,0.007,0.05,190126
