model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
L-Concrete,concrete,0.12,0.0025,0.1,0,1,0.9655338323350088
L-Concrete,concrete,0.12,0.0025,0.1,0,2,0.9665679770477836
L-Concrete,concrete,0.12,0.0025,0.1,1,2,0.979225637449077
L-Concrete,concrete,0.12,0.002,0.1,0,1,0.9384744798312176
L-Concrete,concrete,0.12,0.002,0.1,0,2,0.9800988233371184
L-Concrete,concrete,0.12,0.002,0.1,1,2,0.9769693832433948
L-Concrete,concrete,0.12,0.0015,0.1,0,1,0.9206885524471002
L-Concrete,concrete,0.12,0.0015,0.1,0,2,0.9661976619858906
L-Concrete,concrete,0.12,0.0015,0.1,1,2,0.9298436253945292
LSPIN,lspin_tf,0.22,0.014,0.05,0,1,0.9812256245847476
LSPIN,lspin_tf,0.22,0.014,0.05,0,2,0.9768447594720394
LSPIN,lspin_tf,0.22,0.014,0.05,1,2,0.9951442945028292
LSPIN,lspin_tf,0.22,0.0105,0.05,0,1,0.9956740493823928
LSPIN,lspin_tf,0.22,0.0105,0.05,0,2,0.9929197902142882
LSPIN,lspin_tf,0.22,0.0105,0.05,1,2,0.9934134612847504
LSPIN,lspin_tf,0.22,0.00875,0.05,0,1,0.9958716309248864
LSPIN,lspin_tf,0.22,0.00875,0.05,0,2,0.9969723306406963
LSPIN,lspin_tf,0.22,0.00875,0.05,1,2,0.9925750423360742
LSPIN,lspin_tf,0.22,0.007,0.05,0,1,0.9884502996658472
LSPIN,lspin_tf,0.22,0.007,0.05,0,2,0.9905754681233754
LSPIN,lspin_tf,0.22,0.007,0.05,1,2,0.9890502773230924
LSPIN,lspin_tf,0.22,0.00525,0.05,0,1,0.9961613149214492
LSPIN,lspin_tf,0.22,0.00525,0.05,0,2,0.979169824384682
LSPIN,lspin_tf,0.22,0.00525,0.05,1,2,0.9766146599297252
LSPIN,lspin_tf,0.2,0.014,0.05,0,1,0.9930332986075684
LSPIN,lspin_tf,0.2,0.014,0.05,0,2,0.9905522099573558
LSPIN,lspin_tf,0.2,0.014,0.05,1,2,0.9958961342803913
LSPIN,lspin_tf,0.2,0.0105,0.05,0,1,0.9842137650783428
LSPIN,lspin_tf,0.2,0.0105,0.05,0,2,0.990556837983824
LSPIN,lspin_tf,0.2,0.0105,0.05,1,2,0.9950952827087388
LSPIN,lspin_tf,0.2,0.00875,0.05,0,1,0.968665765683473
LSPIN,lspin_tf,0.2,0.00875,0.05,0,2,0.9704037562548232
LSPIN,lspin_tf,0.2,0.00875,0.05,1,2,0.9929195669936822
LSPIN,lspin_tf,0.2,0.007,0.05,0,1,0.988752263903759
LSPIN,lspin_tf,0.2,0.007,0.05,0,2,0.9875061585619848
LSPIN,lspin_tf,0.2,0.007,0.05,1,2,0.997559211839905
LSPIN,lspin_tf,0.2,0.00525,0.05,0,1,0.9942482425642816
LSPIN,lspin_tf,0.2,0.00525,0.05,0,2,0.9942099610534714
LSPIN,lspin_tf,0.2,0.00525,0.05,1,2,0.9890392917441384
L-LSPIN,lspin_tf,0.22,0.021,0.05,0,1,0.9724651096687332
L-LSPIN,lspin_tf,0.22,0.021,0.05,0,2,0.978657406253979
L-LSPIN,lspin_tf,0.22,0.021,0.05,1,2,0.9670442372798752
L-LSPIN,lspin_tf,0.22,0.014,0.05,0,1,0.9840440183195583
L-LSPIN,lspin_tf,0.22,0.014,0.05,0,2,0.9852485607388102
L-LSPIN,lspin_tf,0.22,0.014,0.05,1,2,0.9930524876297702
L-LSPIN,lspin_tf,0.22,0.0105,0.05,0,1,0.9913867817432392
L-LSPIN,lspin_tf,0.22,0.0105,0.05,0,2,0.9873480461156844
L-LSPIN,lspin_tf,0.22,0.0105,0.05,1,2,0.9958960123025832
