model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.22,0.0105,0.025,0,1,0.9736546841735244,0.9330074506351348
LSPIN,lspin_tf,0.22,0.0105,0.025,0,2,0.9736546841735244,0.9330074506351348
LSPIN,lspin_tf,0.22,0.0105,0.025,1,2,1.0,1.0
LSPIN,lspin_tf,0.22,0.00875,0.025,0,1,0.9688273975879768,0.924388537444105
LSPIN,lspin_tf,0.22,0.00875,0.025,0,2,0.9414238231441104,0.8826873957209405
LSPIN,lspin_tf,0.22,0.00875,0.025,1,2,0.949243759190067,0.8884228726602156
LSPIN,lspin_tf,0.22,0.007,0.025,0,1,0.9715767058961388,0.9428464313313132
LSPIN,lspin_tf,0.22,0.007,0.025,0,2,0.9784922662938054,0.9629692016722592
LSPIN,lspin_tf,0.22,0.007,0.025,1,2,0.993078140514175,0.9799352512161912
LSPIN,lspin_tf,0.22,0.00525,0.025,0,1,0.9623892140975148,0.9208027775337044
LSPIN,lspin_tf,0.22,0.00525,0.025,0,2,0.9271930320290545,0.8717529175756752
LSPIN,lspin_tf,0.22,0.00525,0.025,1,2,0.9315623038728906,0.8746723822137804
LSPIN,lspin_tf,0.2,0.014,0.025,0,1,0.969394690421595,0.9239319729674558
LSPIN,lspin_tf,0.2,0.014,0.025,0,2,0.986446639734958,0.9653210382299344
LSPIN,lspin_tf,0.2,0.014,0.025,1,2,0.9824270630382302,0.9584077696656924
LSPIN,lspin_tf,0.2,0.0105,0.025,0,1,0.9503074047567877,0.9014840555361986
LSPIN,lspin_tf,0.2,0.0105,0.025,0,2,0.9798277947934658,0.953061673323529
LSPIN,lspin_tf,0.2,0.0105,0.025,1,2,0.947437453700228,0.8886438409862076
LSPIN,lspin_tf,0.2,0.00875,0.025,0,1,0.971635179144417,0.93734043621255
LSPIN,lspin_tf,0.2,0.00875,0.025,0,2,0.969188867913364,0.9315426120597258
LSPIN,lspin_tf,0.2,0.00875,0.025,1,2,0.9757873710792088,0.9438649836468416
LSPIN,lspin_tf,0.2,0.007,0.025,0,1,1.0,1.0
LSPIN,lspin_tf,0.2,0.007,0.025,0,2,0.9757654300020328,0.9384218527409568
LSPIN,lspin_tf,0.2,0.007,0.025,1,2,0.9757654300020328,0.9384218527409568
LSPIN,lspin_tf,0.2,0.00525,0.025,0,1,0.9757451413758575,0.944142766195779
LSPIN,lspin_tf,0.2,0.00525,0.025,0,2,0.9629478107360152,0.92089718298099
LSPIN,lspin_tf,0.2,0.00525,0.025,1,2,0.9398035440480564,0.8658591559631423
L-LSPIN,lspin_tf,0.22,0.021,0.025,0,1,0.8920768336372066,0.7973036293660111
L-LSPIN,lspin_tf,0.22,0.021,0.025,0,2,0.8968354102191951,0.808614260795727
L-LSPIN,lspin_tf,0.22,0.021,0.025,1,2,0.8958602923431525,0.8081508148870495
L-LSPIN,lspin_tf,0.22,0.014,0.025,0,1,0.940280900486163,0.8847466260363751
L-LSPIN,lspin_tf,0.22,0.014,0.025,0,2,0.98908054478904,0.9787891716248768
L-LSPIN,lspin_tf,0.22,0.014,0.025,1,2,0.9509153880816132,0.9004386910525788
L-LSPIN,lspin_tf,0.22,0.0105,0.025,0,1,0.9432143188126846,0.8775243022188315
L-LSPIN,lspin_tf,0.22,0.0105,0.025,0,2,0.892584528734844,0.8045181512799361
L-LSPIN,lspin_tf,0.22,0.0105,0.025,1,2,0.8786132266192286,0.7980178259585535
L-LSPIN,lspin_tf,0.22,0.00875,0.025,0,1,0.9591736156468512,0.9080619508041534
L-LSPIN,lspin_tf,0.22,0.00875,0.025,0,2,0.9545855822736352,0.907136142385308
L-LSPIN,lspin_tf,0.22,0.00875,0.025,1,2,0.9611807880100818,0.9289445334183676
L-LSPIN,lspin_tf,0.22,0.007,0.025,0,1,0.9244344138175982,0.8631937612599824
L-LSPIN,lspin_tf,0.22,0.007,0.025,0,2,0.93822739988999,0.8788320260866678
L-LSPIN,lspin_tf,0.22,0.007,0.025,1,2,0.9568305332014544,0.910448681403584
