model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard
LSPIN,0.2,0.00525,0.05,0.8774445416948894,3.7036489151873773,0.5941962317673893,3.160872781065089,0.46612202264376174
LSPIN,0.2,0.00525,0.1,0.8929525558011261,3.991000986193294,0.6713363139592649,3.2566568047337277,0.4871052252546839
LSPIN,0.2,0.007,0.0,0.8168869101610836,3.41629684418146,0.526984126984127,3.160872781065089,0.4673628852733331
LSPIN,0.2,0.007,0.025,0.8676082937332791,3.6717209072978303,0.5879138540662167,3.2885848126232737,0.4962962962962963
LSPIN,0.2,0.007,0.05,0.8971863718594273,3.991000986193294,0.6685441201570234,3.192800788954635,0.47253939892415175
LSPIN,0.2,0.007,0.1,0.8658394046180151,3.895216962524655,0.6445338729997896,3.349984827795479,0.5114088276572442
LSPIN,0.2,0.00875,0.0,0.87808985098008,4.054857001972387,0.6883770730818298,3.0650887573964494,0.444630237028462
LSPIN,0.2,0.00875,0.025,0.8374270639616254,3.7675049309664694,0.6093441522546,3.128944773175542,0.4580073030777256
LSPIN,0.2,0.00875,0.05,0.8835557406016358,4.1506410256410255,0.7143897996357013,3.0650887573964494,0.4556515232843736
LSPIN,0.2,0.00875,0.1,0.882862888459326,4.1506410256410255,0.7162717106187994,3.4162968441814594,0.5240117030686534
LSPIN,0.2,0.0105,0.0,0.8490209214023737,3.735576923076923,0.6,2.937376725838264,0.4203403902034039
LSPIN,0.2,0.0105,0.025,0.8889650434917934,4.214497041420118,0.736229462545252,3.128944773175542,0.4618161969986982
LSPIN,0.2,0.0105,0.05,0.8926821493196727,4.214497041420118,0.733654410175666,3.448224852071006,0.5309868875086267
LSPIN,0.2,0.0105,0.1,0.88151045378872,4.02292899408284,0.678584229390681,3.3205128205128207,0.5004822913039476
LSPIN,0.2,0.014,0.0,0.8192956792966631,3.192800788954635,0.4729526771156079,3.0012327416173563,0.4357755084227983
LSPIN,0.2,0.014,0.025,0.7854038094857726,3.288584812623274,0.4928916494133886,3.384368836291913,0.5163073521282476
LSPIN,0.2,0.014,0.05,0.8390793738514871,3.735576923076923,0.6010108189212667,3.224728796844181,0.4816198514828652
LSPIN,0.2,0.014,0.1,0.8876951113390213,3.7675049309664694,0.6088504088504089,3.9271449704142007,0.6519038945268454
LSPIN,0.22,0.00525,0.0,0.8315487686515791,3.8952169625246547,0.6421957671957672,2.809664694280079,0.40345251456362563
LSPIN,0.22,0.00525,0.025,0.8671722141009405,3.5440088757396446,0.5522388059701493,3.2566568047337277,0.48591646497341534
LSPIN,0.22,0.00525,0.05,0.933011332442024,3.991000986193294,0.674253869694907,3.863288954635109,0.6346568604633122
LSPIN,0.22,0.00525,0.1,0.8999895103278491,4.310281065088756,0.7651314077543585,3.384368836291913,0.5250373901955523
LSPIN,0.22,0.007,0.0,0.8630326904857822,3.5440088757396446,0.555306567071273,3.0012327416173563,0.43143143143143137
