model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft
L-LSPIN,0.22,0.007,0.025,0.7052234069560802,0.0101658138609784,830.8751627604166,86.56274280620198,0.9950532954768976,0.0020693228870563,1579.0,1491.6666666666667,3,830.8787434895834,86.55707716165907
L-LSPIN,0.22,0.007,0.05,0.6604468139121605,0.0331513397461271,900.7966512044272,37.55092478660577,0.996320891624586,0.000291977172563,1819.0,1692.3333333333333,3,900.7808227539062,37.57416669356363
L-LSPIN,0.22,0.007,0.1,0.6889121604468139,0.0314490896527378,924.805684407552,100.67951759009554,0.996892510083792,0.0004833182912576,1943.6666666666667,1791.6666666666667,3,924.8286946614584,100.6908608284356
L-LSPIN,0.22,0.00875,0.0,0.6895151053566896,0.0038475360665721,388.65378824869794,141.15523237398185,0.9874397148218548,0.0063864336213749,846.6666666666666,742.3333333333334,3,388.65088907877606,141.16878512285976
L-LSPIN,0.22,0.00875,0.025,0.7046839299314547,0.0308031983656268,538.9987182617188,44.33826771330408,0.9922600535125422,0.0023534166912228,970.0,952.3333333333334,3,538.9895222981771,44.3272468536696
L-LSPIN,0.22,0.00875,0.05,0.7376554963188626,0.0208520981802068,704.2136433919271,45.7333578431573,0.994882768240066,0.0006012503360314,1364.0,1316.0,3,704.2213338216146,45.7259196764792
L-LSPIN,0.22,0.00875,0.1,0.7185833968012186,0.0135965409447916,723.8494262695312,98.75605196713649,0.9950013232842396,0.0007588290127266,1326.6666666666667,1305.0,3,723.84716796875,98.75017490799644
L-LSPIN,0.22,0.0105,0.0,0.7095709570957096,0.0183323061645254,207.32174682617185,31.437816737782967,0.9784501121964768,0.0052332381218511,422.6666666666667,371.0,3,207.32526652018228,31.44004096413288
L-LSPIN,0.22,0.0105,0.025,0.6976072607260727,0.0167160783115433,375.3822326660156,24.368301570402544,0.9863346461086376,0.0016483586273346,621.6666666666666,600.6666666666666,3,375.3893229166667,24.37721901064538
L-LSPIN,0.22,0.0105,0.05,0.6951320132013201,0.0259693997716184,659.5366821289062,41.91940114559396,0.9939299621577434,0.0017862299196004,1316.3333333333333,1236.3333333333333,3,659.5379842122396,41.915703593712976
L-LSPIN,0.22,0.0105,0.1,0.6978611322670728,0.0240678681430497,574.9536743164062,42.0337404873301,0.9933661492433862,0.0012402616491772,1017.3333333333334,1002.6666666666666,3,574.9601440429688,42.037164812938094
L-LSPIN,0.22,0.014,0.0,0.6937357197258187,0.0099009900990099,151.2677001953125,53.19174032108979,0.9629524960204368,0.0165310975597519,302.3333333333333,259.3333333333333,3,151.26885223388672,53.18838770325063
L-LSPIN,0.22,0.014,0.025,0.6767580604214268,0.037265810767276,258.3912506103516,13.00228902737762,0.9809734913930648,0.0024413985123796,406.3333333333333,396.0,3,258.3923034667969,12.99607234601176
L-LSPIN,0.22,0.014,0.05,0.6842790048235593,0.0200878864750577,343.83526611328125,59.0839760647591,0.9881955433252498,0.0033764122811954,592.0,578.3333333333334,3,343.8339436848958,59.08238030601933
L-LSPIN,0.22,0.014,0.1,0.7096502919522721,0.0171366094919874,463.2972997029622,61.82612071850384,0.9914354594777812,0.0020169229469058,886.0,854.6666666666666,12,463.2914657592773,61.82877184523125
L-LSPIN,0.22,0.021,0.0,0.7158542777354658,0.0193838808119659,98.9768346150716,21.661856523616407,0.939794529363279,0.0104345552369314,157.0,141.33333333333334,3,98.97314453125,21.66739142886255
L-LSPIN,0.22,0.021,0.025,0.6732990606752983,0.0372797926733232,131.32303619384766,15.58908611891412,0.9576630416341018,0.0100324332583293,202.0,195.66666666666663,3,131.32093302408853,15.589422710851826
L-LSPIN,0.22,0.021,0.05,0.7138233054074639,0.0224458373391113,215.4157053629557,53.86070833752421,0.9784607605401028,0.0040809704787814,375.0,364.0,3,215.4126993815104,53.86636510651623
L-LSPIN,0.22,0.021,0.1,0.68504061944656,0.0285850258991384,235.1930491129557,52.10523682047008,0.9803813695980966,0.0043993611128788,402.6666666666667,396.0,3,235.19110616048175,52.10490598104143
LSPIN,0.2,0.00525,0.0,0.7203525641025642,0.0097582788293304,253.03410466512045,51.93508101065042,0.9818881003989604,0.0062156060215461,764.6666666666666,559.0,12,253.03807957967123,51.928396225310976
LSPIN,0.2,0.00525,0.025,0.717948717948718,0.0113925737974267,337.3449198404948,26.35879017616869,0.988001078070788,0.0014913228483146,775.0,700.6666666666666,3,337.34425862630206,26.343666731849684
LSPIN,0.2,0.00525,0.05,0.7118558009647119,0.0142552882877546,380.2020568847656,33.288559923172464,0.9873289867906102,0.0016950200796516,827.0,764.3333333333334,3,380.2003784179688,33.28896514026558
LSPIN,0.2,0.00525,0.1,0.7227405432850977,0.0040304605791973,382.3217468261719,16.99553057738232,0.9876788429968176,0.0019387932742914,834.6666666666666,779.0,3,382.3257548014323,16.988149014431457
LSPIN,0.2,0.007,0.0,0.7109037826859609,0.0070874761090117,195.85842895507807,37.61215731902237,0.97241969607047,0.0157067823947907,518.0,431.3333333333333,3,195.87847900390625,37.62947655404775
LSPIN,0.2,0.007,0.025,0.7079525260218329,0.0135499104228934,250.0373280843099,41.3821567457596,0.9831597151896444,0.0042142203040761,536.3333333333334,492.3333333333333,3,250.0325113932292,41.37534042850888
LSPIN,0.2,0.007,0.05,0.7235973597359736,0.0126300692979376,347.91892496744794,37.95358828930794,0.98925436420602,0.0018699295795531,783.3333333333334,703.3333333333334,3,347.9323323567708,37.948366065690976
LSPIN,0.2,0.007,0.1,0.7202256283320639,0.0105678414683939,289.3729082743327,23.237504603153567,0.9862018662936212,0.0019961215025124,644.0833333333334,596.8333333333334,12,289.3729756673177,23.23652019448218
LSPIN,0.2,0.00875,0.0,0.7158860116780909,0.0137095039561319,153.70785013834634,18.43696106918456,0.970573659320086,0.003681324028099,462.0,323.6666666666667,3,153.71221923828125,18.463052888048704
LSPIN,0.2,0.00875,0.025,0.713981975120589,0.0226525009188568,209.51866149902344,17.673005366035536,0.9831073720531206,0.0013631516607875,510.3333333333333,444.6666666666667,3,209.52596537272132,17.679010484288483
