histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
kidneypapillaryrenalcellcarcinoma,84,0.7327188940092166,Concrete,0.12,0.002,0.0,1120125
kidneychromophobe,19,0.6619718309859155,Concrete,0.12,0.0015,0.0,1160123
kidneyclearcellrenalcarcinoma,156,0.6650892665089266,Concrete,0.12,0.0015,0.0,1160123
kidneypapillaryrenalcellcarcinoma,84,0.7373271889400922,Concrete,0.12,0.0015,0.0,1160123
kidneychromophobe,19,0.6901408450704225,Concrete,0.12,0.0015,0.0,1160124
kidneyclearcellrenalcarcinoma,156,0.7113357711335772,Concrete,0.12,0.0015,0.0,1160124
kidneypapillaryrenalcellcarcinoma,84,0.7434715821812596,Concrete,0.12,0.0015,0.0,1160124
kidneychromophobe,19,0.6338028169014085,Concrete,0.12,0.0015,0.0,1160125
kidneyclearcellrenalcarcinoma,156,0.6816519681651968,Concrete,0.12,0.0015,0.0,1160125
kidneypapillaryrenalcellcarcinoma,84,0.7634408602150538,Concrete,0.12,0.0015,0.0,1160125
kidneychromophobe,19,0.7323943661971831,L-Concrete,0.15,0.004,0.0,1200123
kidneyclearcellrenalcarcinoma,156,0.6721875672187567,L-Concrete,0.15,0.004,0.0,1200123
kidneypapillaryrenalcellcarcinoma,84,0.7311827956989247,L-Concrete,0.15,0.004,0.0,1200123
kidneychromophobe,19,0.7323943661971831,L-Concrete,0.15,0.004,0.0,1200124
kidneyclearcellrenalcarcinoma,156,0.6670251667025167,L-Concrete,0.15,0.004,0.0,1200124
kidneypapillaryrenalcellcarcinoma,84,0.7849462365591398,L-Concrete,0.15,0.004,0.0,1200124
kidneychromophobe,19,0.8169014084507042,L-Concrete,0.15,0.004,0.0,1200125
kidneyclearcellrenalcarcinoma,156,0.6330393633039363,L-Concrete,0.15,0.004,0.0,1200125
kidneypapillaryrenalcellcarcinoma,84,0.8187403993855606,L-Concrete,0.15,0.004,0.0,1200125
kidneychromophobe,19,0.6901408450704225,L-Concrete,0.15,0.003,0.0,1240123
kidneyclearcellrenalcarcinoma,156,0.6048612604861261,L-Concrete,0.15,0.003,0.0,1240123
kidneypapillaryrenalcellcarcinoma,84,0.7987711213517665,L-Concrete,0.15,0.003,0.0,1240123
kidneychromophobe,19,0.7605633802816901,L-Concrete,0.15,0.003,0.0,1240124
