family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,PRAM1,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.7176568186312521,0.9587163016354902,-0.241059483004238,0.0,PRAM1,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,SPATA12,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5540069937705994,159.0,0.5875574748817121,0.8290518509712228,-0.2414943760895107,0.0,SPATA12,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,PF4V1,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.8069523488719267,1.0505780392823223,-0.2436256904103958,0.0,PF4V1,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,MYLK4,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.4390243887901306,126.0,0.1939115719637166,0.4380313002061637,-0.244119728242447,0.0,MYLK4,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,PCDHA2,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.7493802174680976,0.9939022964137196,-0.244522078945622,0.0,PCDHA2,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,TNFSF8,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5540069937705994,159.0,0.3976736611836507,0.6422953719870363,-0.2446217108033856,0.0,TNFSF8,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,SYCE1L,1,kidneyclearcellrenalcarcinoma,1,1.0,0.1533101052045822,44.0,0.3810553565319072,0.6257965173149487,-0.2447411607830414,0.0,SYCE1L,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,KCNK15,1,kidneyclearcellrenalcarcinoma,1,1.0,0.9860627055168152,283.0,0.6643177853733,0.909339653678856,-0.245021868305556,0.0,KCNK15,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,MSX2,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.7200847612348905,0.9658039521348608,-0.2457191908999704,0.0,MSX2,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ALDH1A3,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.3972125351428985,114.0,0.0007884505957665,0.247722714186593,-0.2469342635908264,0.0,ALDH1A3,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,KCNMB4,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.6375956484179858,0.8846243480990054,-0.2470286996810196,0.0,KCNMB4,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,HAAO,1,kidneychromophobe,1,1.0,0.1289198547601699,37.0,0.8455774120669617,1.093318956453983,-0.2477415443870212,0.0,HAAO,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,PCDHA1,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.4294821224882786,0.6772316472081271,-0.2477495247198484,0.0,PCDHA1,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,CNTN6,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.7433108717965093,0.991447215327912,-0.2481363435314025,0.0,CNTN6,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,FGFBP1,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.6637253553476254,0.9123921820762724,-0.2486668267286468,0.0,FGFBP1,,,False
