model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.00875,0.4,0,3,0.7948869864722827
LSPIN,lspin_tf,mlp,0.00875,0.4,0,4,0.9211494241689688
LSPIN,lspin_tf,mlp,0.00875,0.4,1,2,0.8934733459962774
LSPIN,lspin_tf,mlp,0.00875,0.4,1,3,0.8684392954788407
LSPIN,lspin_tf,mlp,0.00875,0.4,1,4,0.9172545783061368
LSPIN,lspin_tf,mlp,0.00875,0.4,2,3,0.8900622276575977
LSPIN,lspin_tf,mlp,0.00875,0.4,2,4,0.9042085456899612
LSPIN,lspin_tf,mlp,0.00875,0.4,3,4,0.8824062620193015
LSPIN,lspin_tf,mlp,0.0105,0.4,0,1,0.9291456503163
LSPIN,lspin_tf,mlp,0.0105,0.4,0,2,0.911926408968595
LSPIN,lspin_tf,mlp,0.0105,0.4,0,3,0.927510230781614
LSPIN,lspin_tf,mlp,0.0105,0.4,0,4,0.923777030156668
LSPIN,lspin_tf,mlp,0.0105,0.4,1,2,0.8818056869031681
LSPIN,lspin_tf,mlp,0.0105,0.4,1,3,0.8939832203089314
LSPIN,lspin_tf,mlp,0.0105,0.4,1,4,0.8734151739812377
LSPIN,lspin_tf,mlp,0.0105,0.4,2,3,0.9113996320678942
LSPIN,lspin_tf,mlp,0.0105,0.4,2,4,0.934361660254674
LSPIN,lspin_tf,mlp,0.0105,0.4,3,4,0.926238861419527
LSPIN,lspin_tf,mlp,0.014,0.4,0,1,0.8499727464938457
LSPIN,lspin_tf,mlp,0.014,0.4,0,2,0.8688496267513516
LSPIN,lspin_tf,mlp,0.014,0.4,0,3,0.8498659965626935
LSPIN,lspin_tf,mlp,0.014,0.4,0,4,0.9085376183756138
LSPIN,lspin_tf,mlp,0.014,0.4,1,2,0.8776214515210448
LSPIN,lspin_tf,mlp,0.014,0.4,1,3,0.9095265682444892
LSPIN,lspin_tf,mlp,0.014,0.4,1,4,0.8975025000282582
LSPIN,lspin_tf,mlp,0.014,0.4,2,3,0.9199351075157236
LSPIN,lspin_tf,mlp,0.014,0.4,2,4,0.8960607183812206
LSPIN,lspin_tf,mlp,0.014,0.4,3,4,0.9030826927141884
LSPIN,lspin_tf,mlp,0.021,0.4,0,1,0.8043884340353573
LSPIN,lspin_tf,mlp,0.021,0.4,0,2,0.8480440137085543
LSPIN,lspin_tf,mlp,0.021,0.4,0,3,0.9054185095148294
LSPIN,lspin_tf,mlp,0.021,0.4,0,4,0.799795869497699
LSPIN,lspin_tf,mlp,0.021,0.4,1,2,0.8960336678589796
