model_family,gate_type,predictor,gate_sigma,temperature,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
Concrete,concrete,mlp,0.15,0.5,0.00165,0.0,980125,2,0.6321048321048321,0.8207236842105263,8,400.019287109375,0.9757924353192842,10601.0,2001.0,3713.6829174276177
Concrete,concrete,mlp,0.15,0.5,0.00165,0.0,980126,3,0.6113022113022113,0.8963815789473685,14,327.26043701171875,0.9740261786637804,9740.0,1509.0,3126.732184017727
Concrete,concrete,mlp,0.15,0.5,0.00165,0.0,980127,4,0.6,0.8404605263157895,10,394.1575622558594,0.96189746604299,11282.0,1768.0,3738.859569592787
Concrete,concrete,mlp,0.15,0.5,0.0022,0.0,990123,0,0.5932841932841932,0.8470394736842105,17,268.0257263183594,0.9697349876088764,8186.0,1366.0,3019.83460559227
Concrete,concrete,mlp,0.15,0.5,0.0022,0.0,990124,1,0.6083538083538084,0.8552631578947368,8,300.0675354003906,0.966634737301328,9945.0,1356.0,3182.225471802157
Concrete,concrete,mlp,0.15,0.5,0.0022,0.0,990125,2,0.6047502047502048,0.8651315789473685,25,207.61737060546875,0.9670170204307024,7191.0,1058.0,2535.0200901080984
Concrete,concrete,mlp,0.15,0.5,0.0022,0.0,990126,3,0.6039312039312039,0.8421052631578947,8,320.18328857421875,0.9735567023512928,9410.0,1476.0,3059.8270575954016
Concrete,concrete,mlp,0.15,0.5,0.0022,0.0,990127,4,0.5896805896805897,0.8881578947368421,18,215.7588348388672,0.9581547617861412,7881.0,933.0,2264.51077257331
Concrete,concrete,mlp,0.15,0.5,0.00275,0.0,1000123,0,0.6276822276822277,0.8355263157894737,11,169.1832733154297,0.9399083636628974,7446.0,752.0,2307.5387249169385
Concrete,concrete,mlp,0.15,0.5,0.00275,0.0,1000124,1,0.6520884520884521,0.837171052631579,13,169.92604064941406,0.9457168973028652,6887.0,678.0,1922.8334110602943
