model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs
Concrete,0.2,0.0011,992.6572326660156,103.65414293515809,0.6168058968058968,0.019053494658328538,0.9813771593279664,0.004928704469709019,6088.6,1676.4,1569.2330599416366,10
Concrete,0.4,0.0066,101.24951705932617,11.790384428655162,0.5931203931203931,0.036705209044812656,0.8582303107068039,0.019328131599051293,3778.0,134.0,345.46700755762396,10
Concrete,0.4,0.0055,132.29999771118165,21.970550433864542,0.582964782964783,0.04967110742429005,0.8870480973861339,0.019672549700957255,3894.3,182.2,334.33042365172986,10
Concrete,0.4,0.0044,167.52315216064454,22.512060524616057,0.5843407043407043,0.028462940906751028,0.9069535372914268,0.017038442909083133,4063.1,237.8,382.2832677157593,10
Concrete,0.4,0.0033,250.85787506103514,26.73350857127891,0.6003931203931204,0.03322073008012785,0.9354782940276497,0.009730533258088257,4052.0,364.2,470.31127689876257,10
Concrete,0.4,0.00275,333.730224609375,41.41035334620627,0.6089107289107288,0.026564618381245294,0.9554834470996496,0.007707288008789816,4692.1,547.9,647.8187518099787,10
Concrete,0.4,0.0022,408.7961395263672,52.39411845303775,0.6217362817362817,0.02512920282438416,0.9548530096277668,0.010057063279419881,4278.0,626.2,685.4246159528285,10
Concrete,0.4,0.00165,607.0337585449219,54.75738967399486,0.6173300573300573,0.03153859093016745,0.9703598402719859,0.006641232265318469,4484.9,947.0,931.5090349473127,10
Concrete,0.4,0.0011,975.0868103027344,74.72008070279217,0.6280425880425881,0.024320975167847897,0.9801410631933234,0.004245923206257188,5368.7,1570.4,1462.2473921888616,10
L-Concrete,0.0,0.0066,76.2250804901123,18.53130897798436,0.5945126945126945,0.01923398813330788,0.8957450877866737,0.01766195562883838,4410.2,333.2,1649.6264441686067,10
L-Concrete,0.0,0.0055,92.91189727783203,33.98495750173471,0.5965438165438165,0.02197412419114318,0.913938475399284,0.020407137207549393,4654.3,418.2,1655.1029001978459,10
L-Concrete,0.0,0.0044,115.40739517211914,30.368817602642018,0.6048812448812448,0.023997304775259597,0.9311405664489858,0.011345785303304854,5026.0,539.2,1812.8352556623881,10
L-Concrete,0.0,0.0033,145.92411575317382,33.99776784946394,0.6081572481572481,0.032510726693656726,0.9357832312327341,0.0123095978954849,5635.7,657.3,1834.6869663125776,10
L-Concrete,0.0,0.00275,197.62540283203126,48.41962148576099,0.6284848484848485,0.022160150383696384,0.9486439974692009,0.013922092964300067,6577.6,918.8,2185.770661990148,10
L-Concrete,0.0,0.0022,229.109326171875,47.29085421633926,0.6255200655200654,0.01737668504617792,0.955274823933796,0.006734842083005962,6473.5,1036.8,2055.120572002218,10
L-Concrete,0.0,0.00165,370.35691223144534,117.79182996281924,0.6208845208845208,0.019458045383097464,0.9675986447200442,0.009630763025448647,7948.6,1594.5,2475.775113116442,10
L-Concrete,0.0,0.0011,572.754019165039,164.68699439922858,0.6345945945945946,0.023146920240396933,0.9749858891637985,0.00895482746654079,8890.1,2273.1,2840.809554897246,10
L-Concrete,0.1,0.0066,152.09131774902343,38.340465372832924,0.61998361998362,0.02304316371972948,0.8842838033513665,0.018380134817859085,2979.4,224.8,306.633770121091,10
L-Concrete,0.1,0.0055,236.70836181640624,24.756640479055978,0.625045045045045,0.035080902619833314,0.91759350855208,0.010678446595475698,2921.4,320.1,373.60722530066664,10
L-Concrete,0.1,0.0044,365.45884399414064,63.37820899607141,0.5933497133497133,0.03867289144151972,0.9398451861008633,0.01072940729433829,3388.1,476.5,527.866335601357,10
L-Concrete,0.1,0.0033,683.8160705566406,86.99156766463892,0.6336609336609337,0.026790355696511375,0.9668657563312933,0.0038445108047216307,3177.4,832.8,837.7702050839376,10
L-Concrete,0.1,0.00275,904.9678466796875,70.41952328501796,0.6463390663390663,0.026679538843069873,0.9742786342636162,0.0034835898454886887,3170.1,1098.1,1073.9777693204696,10
L-Concrete,0.1,0.0022,1272.6964599609375,142.25205211152505,0.6503357903357904,0.031066524251883963,0.9822968661824426,0.0024422397844446244,3035.7,1514.5,1452.558126883046,10
L-Concrete,0.1,0.00165,2028.68681640625,157.84446768297835,0.6480753480753481,0.02441767307474078,0.9880448098248061,0.0014532213892099288,3483.7,2357.3,2247.5702831454664,10
L-Concrete,0.1,0.0011,3341.6157958984377,390.09934246925684,0.651973791973792,0.019246352734994133,0.9924972518875192,0.0017734807993418002,5089.9,3890.9,3667.1703668942746,10
