histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.6202945990180033,LSPIN,mlp,0.007,0.1,110127
infiltratinglobularcarcinoma,60,0.5396825396825397,LSPIN,mlp,0.007,0.1,110127
other,23,0.4864864864864865,LSPIN,mlp,0.007,0.1,110127
infiltratingductalcarcinoma,220,0.6363338788870704,LSPIN,mlp,0.00875,0.1,120123
infiltratinglobularcarcinoma,60,0.6613756613756614,LSPIN,mlp,0.00875,0.1,120123
other,23,0.6486486486486487,LSPIN,mlp,0.00875,0.1,120123
infiltratingductalcarcinoma,220,0.6297872340425532,LSPIN,mlp,0.00875,0.1,120124
infiltratinglobularcarcinoma,60,0.5502645502645502,LSPIN,mlp,0.00875,0.1,120124
other,23,0.6216216216216216,LSPIN,mlp,0.00875,0.1,120124
infiltratingductalcarcinoma,220,0.5414075286415712,LSPIN,mlp,0.00875,0.1,120125
infiltratinglobularcarcinoma,60,0.5132275132275133,LSPIN,mlp,0.00875,0.1,120125
other,23,0.6486486486486487,LSPIN,mlp,0.00875,0.1,120125
infiltratingductalcarcinoma,220,0.6448445171849427,LSPIN,mlp,0.00875,0.1,120126
infiltratinglobularcarcinoma,60,0.6666666666666666,LSPIN,mlp,0.00875,0.1,120126
other,23,0.8108108108108109,LSPIN,mlp,0.00875,0.1,120126
infiltratingductalcarcinoma,220,0.6445171849427168,LSPIN,mlp,0.00875,0.1,120127
infiltratinglobularcarcinoma,60,0.5396825396825397,LSPIN,mlp,0.00875,0.1,120127
other,23,0.5945945945945946,LSPIN,mlp,0.00875,0.1,120127
infiltratingductalcarcinoma,220,0.5993453355155482,LSPIN,mlp,0.0105,0.1,130123
infiltratinglobularcarcinoma,60,0.671957671957672,LSPIN,mlp,0.0105,0.1,130123
other,23,0.5135135135135135,LSPIN,mlp,0.0105,0.1,130123
infiltratingductalcarcinoma,220,0.5914893617021276,LSPIN,mlp,0.0105,0.1,130124
infiltratinglobularcarcinoma,60,0.6296296296296297,LSPIN,mlp,0.0105,0.1,130124
other,23,0.6216216216216216,LSPIN,mlp,0.0105,0.1,130124
infiltratingductalcarcinoma,220,0.613747954173486,LSPIN,mlp,0.0105,0.1,130125
infiltratinglobularcarcinoma,60,0.7619047619047619,LSPIN,mlp,0.0105,0.1,130125
other,23,0.7027027027027027,LSPIN,mlp,0.0105,0.1,130125
infiltratingductalcarcinoma,220,0.6225859247135843,LSPIN,mlp,0.0105,0.1,130126
infiltratinglobularcarcinoma,60,0.7777777777777778,LSPIN,mlp,0.0105,0.1,130126
other,23,0.5945945945945946,LSPIN,mlp,0.0105,0.1,130126
infiltratingductalcarcinoma,220,0.597708674304419,LSPIN,mlp,0.0105,0.1,130127
infiltratinglobularcarcinoma,60,0.5873015873015873,LSPIN,mlp,0.0105,0.1,130127
other,23,0.6216216216216216,LSPIN,mlp,0.0105,0.1,130127
infiltratingductalcarcinoma,220,0.5548281505728314,LSPIN,mlp,0.014,0.1,140123
infiltratinglobularcarcinoma,60,0.5608465608465608,LSPIN,mlp,0.014,0.1,140123
other,23,0.5135135135135135,LSPIN,mlp,0.014,0.1,140123
infiltratingductalcarcinoma,220,0.6026186579378069,LSPIN,mlp,0.014,0.1,140124
