model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
Concrete,concrete,0.15,0.0044,0.2,0,1,0.8861620574830054
Concrete,concrete,0.15,0.0044,0.2,0,2,0.8910173346927721
Concrete,concrete,0.15,0.0044,0.2,1,2,0.9301709647392252
Concrete,concrete,0.15,0.0033,0.2,0,1,0.6866048717155416
Concrete,concrete,0.15,0.0033,0.2,0,2,0.779348424557447
Concrete,concrete,0.15,0.0033,0.2,1,2,0.8722302564314818
Concrete,concrete,0.15,0.00275,0.2,0,1,0.8381690242894775
Concrete,concrete,0.15,0.00275,0.2,0,2,0.8751955181778817
Concrete,concrete,0.15,0.00275,0.2,1,2,0.8413736354829774
Concrete,concrete,0.15,0.0022,0.2,0,1,0.791249608785302
Concrete,concrete,0.15,0.0022,0.2,0,2,0.8401529685209284
Concrete,concrete,0.15,0.0022,0.2,1,2,0.9371497664583596
Concrete,concrete,0.12,0.0055,0.2,0,1,0.7799221369157918
Concrete,concrete,0.12,0.0055,0.2,0,2,0.7879161976105897
Concrete,concrete,0.12,0.0055,0.2,1,2,0.6534870043115655
Concrete,concrete,0.12,0.0044,0.2,0,1,0.7273042044035467
Concrete,concrete,0.12,0.0044,0.2,0,2,0.874957038957585
Concrete,concrete,0.12,0.0044,0.2,1,2,0.7169861823022932
Concrete,concrete,0.12,0.0033,0.2,0,1,0.9582582712552492
Concrete,concrete,0.12,0.0033,0.2,0,2,0.8316279264183561
Concrete,concrete,0.12,0.0033,0.2,1,2,0.8146615034955428
Concrete,concrete,0.12,0.00275,0.2,0,1,0.8954914965780365
Concrete,concrete,0.12,0.00275,0.2,0,2,0.8609664185798385
Concrete,concrete,0.12,0.00275,0.2,1,2,0.8972343157796593
Concrete,concrete,0.12,0.0022,0.2,0,1,0.7890672162099647
Concrete,concrete,0.12,0.0022,0.2,0,2,0.7358012585623525
Concrete,concrete,0.12,0.0022,0.2,1,2,0.9441322394980564
L-Concrete,concrete,0.15,0.0066,0.2,0,1,0.7528957772187229
L-Concrete,concrete,0.15,0.0066,0.2,0,2,0.9686899642673364
L-Concrete,concrete,0.15,0.0066,0.2,1,2,0.8075052187221131
L-Concrete,concrete,0.15,0.0044,0.2,0,1,0.9424164146679084
L-Concrete,concrete,0.15,0.0044,0.2,0,2,0.9436139101840793
L-Concrete,concrete,0.15,0.0044,0.2,1,2,0.9757404764800968
L-Concrete,concrete,0.15,0.0033,0.2,0,1,0.8631071218495875
L-Concrete,concrete,0.15,0.0033,0.2,0,2,0.8959001851111884
L-Concrete,concrete,0.15,0.0033,0.2,1,2,0.9819710035942166
L-Concrete,concrete,0.15,0.00275,0.2,0,1,0.8099303752852792
L-Concrete,concrete,0.15,0.00275,0.2,0,2,0.7491343317952278
L-Concrete,concrete,0.15,0.00275,0.2,1,2,0.9443309242411646
L-Concrete,concrete,0.15,0.00165,0.2,0,1,0.7922242452769344
L-Concrete,concrete,0.15,0.00165,0.2,0,2,0.9266930701144748
L-Concrete,concrete,0.15,0.00165,0.2,1,2,0.6883339758073989
L-Concrete,concrete,0.12,0.0066,0.2,0,1,0.8695000658508795
L-Concrete,concrete,0.12,0.0066,0.2,0,2,0.8831441744605055
L-Concrete,concrete,0.12,0.0066,0.2,1,2,0.8856113228422112
L-Concrete,concrete,0.12,0.0044,0.2,0,1,0.8488527501130249
L-Concrete,concrete,0.12,0.0044,0.2,0,2,0.9120647071497808
L-Concrete,concrete,0.12,0.0044,0.2,1,2,0.9261650459237784
L-Concrete,concrete,0.12,0.0033,0.2,0,1,0.915529847679821
L-Concrete,concrete,0.12,0.0033,0.2,0,2,0.952243178912438
L-Concrete,concrete,0.12,0.0033,0.2,1,2,0.9628760227141874
L-Concrete,concrete,0.12,0.00275,0.2,0,1,0.9229145800705636
L-Concrete,concrete,0.12,0.00275,0.2,0,2,0.8728282144384343
L-Concrete,concrete,0.12,0.00275,0.2,1,2,0.9321758476466104
L-Concrete,concrete,0.12,0.00165,0.2,0,1,0.8656512303181538
L-Concrete,concrete,0.12,0.00165,0.2,0,2,0.8497228116907429
L-Concrete,concrete,0.12,0.00165,0.2,1,2,0.96503210090009
LSPIN,lspin_tf,0.15,0.014,0.4,0,1,0.7572815600764241
LSPIN,lspin_tf,0.15,0.014,0.4,0,2,0.8661187431813406
LSPIN,lspin_tf,0.15,0.014,0.4,1,2,0.8482315752799754
LSPIN,lspin_tf,0.15,0.0105,0.4,0,1,0.8611895149195217
LSPIN,lspin_tf,0.15,0.0105,0.4,0,2,0.8734700032195103
LSPIN,lspin_tf,0.15,0.0105,0.4,1,2,0.7615355426679775
LSPIN,lspin_tf,0.15,0.00875,0.4,0,1,0.844151041936073
LSPIN,lspin_tf,0.15,0.00875,0.4,0,2,0.8474079129779402
LSPIN,lspin_tf,0.15,0.00875,0.4,1,2,0.8906321987187206
LSPIN,lspin_tf,0.15,0.007,0.4,0,1,0.9423547623049968
LSPIN,lspin_tf,0.15,0.007,0.4,0,2,0.9182051187508676
LSPIN,lspin_tf,0.15,0.007,0.4,1,2,0.9130874276523324
LSPIN,lspin_tf,0.15,0.00525,0.4,0,1,0.7991428312801362
LSPIN,lspin_tf,0.15,0.00525,0.4,0,2,0.8440035651838284
LSPIN,lspin_tf,0.15,0.00525,0.4,1,2,0.7663817135789328
LSPIN,lspin_tf,0.12,0.014,0.4,0,1,0.7501187007980379
LSPIN,lspin_tf,0.12,0.014,0.4,0,2,0.6610839156135014
LSPIN,lspin_tf,0.12,0.014,0.4,1,2,0.7994366777577128
LSPIN,lspin_tf,0.12,0.0105,0.4,0,1,0.8296706789198958
LSPIN,lspin_tf,0.12,0.0105,0.4,0,2,0.8348485619923894
LSPIN,lspin_tf,0.12,0.0105,0.4,1,2,0.8255821544963368
LSPIN,lspin_tf,0.12,0.00875,0.4,0,1,0.8258530179159705
LSPIN,lspin_tf,0.12,0.00875,0.4,0,2,0.79634493747406
LSPIN,lspin_tf,0.12,0.00875,0.4,1,2,0.9439656380340566
LSPIN,lspin_tf,0.12,0.007,0.4,0,1,0.9045323533394312
LSPIN,lspin_tf,0.12,0.007,0.4,0,2,0.8474748357402195
LSPIN,lspin_tf,0.12,0.007,0.4,1,2,0.843114471887229
LSPIN,lspin_tf,0.12,0.00525,0.4,0,1,0.7620877281907272
