model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,0.12,0.0105,0.2,7,9,0.5488272137740603,2.037288989669942,0.26,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.12,0.0105,0.2,7,10,0.4679039329211166,2.5857898715041574,0.3548387096774194,2.037288989669942,0.26
LSPIN,lspin_tf,0.12,0.0105,0.2,7,11,0.5312304596429258,2.1156462585034013,0.2727272727272727,2.35071806500378,0.3125
LSPIN,lspin_tf,0.12,0.0105,0.2,8,9,0.5891960087784993,2.507432602670698,0.3404255319148936,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,0.12,0.0105,0.2,8,10,0.4919948137683538,2.429075333837239,0.3263157894736842,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.0105,0.2,8,11,0.4354442461088873,1.7238599143361049,0.2115384615384615,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.12,0.0105,0.2,9,10,0.6126041259604276,2.2723607961703203,0.2989690721649484,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.12,0.0105,0.2,9,11,0.6138615068781212,2.429075333837239,0.3263157894736842,2.8208616780045355,0.4
LSPIN,lspin_tf,0.12,0.0105,0.2,10,11,0.4258939848836063,2.2723607961703203,0.2989690721649484,1.802217183169564,0.2233009708737864
Concrete,concrete,0.12,0.0022,0.0,3,4,0.3495129322056936,1.880574452003024,0.2352941176470588,2.1156462585034013,0.2727272727272727
Concrete,concrete,0.12,0.0022,0.0,3,5,0.3148935250095386,1.7238599143361049,0.2115384615384615,1.3320735701688082,0.1559633027522936
Concrete,concrete,0.12,0.0022,0.0,3,6,0.4478781206422277,1.1753590325018897,0.1351351351351351,2.35071806500378,0.3125
Concrete,concrete,0.12,0.0022,0.0,3,7,0.3822744257527251,1.6455026455026456,0.2,2.35071806500378,0.3125
Concrete,concrete,0.12,0.0022,0.0,3,8,0.4912717054318745,1.802217183169564,0.2233009708737864,2.507432602670698,0.3404255319148936
Concrete,concrete,0.12,0.0022,0.0,3,9,0.3652428962674597,1.7238599143361049,0.2115384615384615,1.880574452003024,0.2352941176470588
Concrete,concrete,0.12,0.0022,0.0,3,10,0.4483532758273413,1.802217183169564,0.2233009708737864,2.2723607961703203,0.2989690721649484
Concrete,concrete,0.12,0.0022,0.0,3,11,0.3554678677921683,1.880574452003024,0.2352941176470588,1.958931720836483,0.2475247524752475
Concrete,concrete,0.12,0.0022,0.0,4,5,0.6521715712494647,2.2723607961703203,0.2989690721649484,2.5857898715041574,0.3548387096774194
Concrete,concrete,0.12,0.0022,0.0,4,6,0.510226006549898,2.429075333837239,0.3263157894736842,2.1940035273368608,0.2857142857142857
Concrete,concrete,0.12,0.0022,0.0,4,7,0.474553479228061,2.2723607961703203,0.2989690721649484,1.958931720836483,0.2475247524752475
Concrete,concrete,0.12,0.0022,0.0,4,8,0.5314608153263172,2.429075333837239,0.3263157894736842,2.8992189468379945,0.4157303370786517
Concrete,concrete,0.12,0.0022,0.0,4,9,0.6231289318827855,2.507432602670698,0.3404255319148936,2.1940035273368608,0.2857142857142857
Concrete,concrete,0.12,0.0022,0.0,4,10,0.5862305267996873,2.35071806500378,0.3125,2.2723607961703203,0.2989690721649484
Concrete,concrete,0.12,0.0022,0.0,4,11,0.5025270808561916,2.429075333837239,0.3263157894736842,2.1156462585034013,0.2727272727272727
Concrete,concrete,0.12,0.0022,0.0,5,6,0.4417988065103382,2.35071806500378,0.3125,1.958931720836483,0.2475247524752475
Concrete,concrete,0.12,0.0022,0.0,5,7,0.3758147161938964,1.802217183169564,0.2233009708737864,1.4104308390022675,0.1666666666666666
Concrete,concrete,0.12,0.0022,0.0,5,8,0.5142320037234612,2.507432602670698,0.3404255319148936,2.429075333837239,0.3263157894736842
Concrete,concrete,0.12,0.0022,0.0,5,9,0.6022443046516333,2.35071806500378,0.3125,2.6641471403376165,0.3695652173913043
Concrete,concrete,0.12,0.0022,0.0,5,10,0.51208753874069,2.2723607961703203,0.2989690721649484,1.880574452003024,0.2352941176470588
Concrete,concrete,0.12,0.0022,0.0,5,11,0.5200945708043424,2.2723607961703203,0.2989690721649484,2.037288989669942,0.26
Concrete,concrete,0.12,0.0022,0.0,6,7,0.4107835124520427,1.958931720836483,0.2475247524752475,2.6641471403376165,0.3695652173913043
Concrete,concrete,0.12,0.0022,0.0,6,8,0.6480497510515868,1.958931720836483,0.2475247524752475,3.291005291005291,0.5
Concrete,concrete,0.12,0.0022,0.0,6,9,0.6905953676961079,2.6641471403376165,0.3695652173913043,2.6641471403376165,0.3695652173913043
Concrete,concrete,0.12,0.0022,0.0,6,10,0.6710945652428707,2.1156462585034013,0.2727272727272727,2.8992189468379945,0.4157303370786517
Concrete,concrete,0.12,0.0022,0.0,6,11,0.3637181511653885,1.880574452003024,0.2352941176470588,1.018644494834971,0.1150442477876106
Concrete,concrete,0.12,0.0022,0.0,7,8,0.4421185535811681,1.802217183169564,0.2233009708737864,2.6641471403376165,0.3695652173913043
Concrete,concrete,0.12,0.0022,0.0,7,9,0.414865945585312,2.1156462585034013,0.2727272727272727,1.958931720836483,0.2475247524752475
Concrete,concrete,0.12,0.0022,0.0,7,10,0.4797757446833176,2.1156462585034013,0.2727272727272727,2.6641471403376165,0.3695652173913043
Concrete,concrete,0.12,0.0022,0.0,7,11,0.2705856584897449,1.958931720836483,0.2475247524752475,1.7238599143361049,0.2115384615384615
Concrete,concrete,0.12,0.0022,0.0,8,9,0.6264940290814125,2.5857898715041574,0.3548387096774194,2.6641471403376165,0.3695652173913043
Concrete,concrete,0.12,0.0022,0.0,8,10,0.6213696893864886,2.35071806500378,0.3125,3.291005291005291,0.5
Concrete,concrete,0.12,0.0022,0.0,8,11,0.4873633668160175,2.35071806500378,0.3125,1.7238599143361049,0.2115384615384615
Concrete,concrete,0.12,0.0022,0.0,9,10,0.645389902550644,2.2723607961703203,0.2989690721649484,2.8992189468379945,0.4157303370786517
Concrete,concrete,0.12,0.0022,0.0,9,11,0.5021454857769396,2.2723607961703203,0.2989690721649484,1.880574452003024,0.2352941176470588
Concrete,concrete,0.12,0.0022,0.0,10,11,0.4371390429283023,2.429075333837239,0.3263157894736842,1.1753590325018897,0.1351351351351351
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,4,0.3531497212538602,1.880574452003024,0.2352941176470588,1.488788107835727,0.1775700934579439
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,5,0.3883210441908017,1.880574452003024,0.2352941176470588,1.5671453766691863,0.1886792452830188
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,6,0.3828113386916479,1.958931720836483,0.2475247524752475,1.5671453766691863,0.1886792452830188
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,7,0.3533590267720264,2.1156462585034013,0.2727272727272727,1.5671453766691863,0.1886792452830188
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,8,0.2847009984940956,1.5671453766691863,0.1886792452830188,1.5671453766691863,0.1886792452830188
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,9,0.3131363832363331,1.802217183169564,0.2233009708737864,1.488788107835727,0.1775700934579439
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,10,0.3584275677982604,1.4104308390022675,0.1666666666666666,1.958931720836483,0.2475247524752475
L-LSPIN,lspin_tf,0.15,0.021,0.4,3,11,0.4289947076084605,2.037288989669942,0.26,1.958931720836483,0.2475247524752475
L-LSPIN,lspin_tf,0.15,0.021,0.4,4,5,0.2982258147821534,1.7238599143361049,0.2115384615384615,1.802217183169564,0.2233009708737864
L-LSPIN,lspin_tf,0.15,0.021,0.4,4,6,0.3216828848686457,1.5671453766691863,0.1886792452830188,2.1156462585034013,0.2727272727272727
